Sample_ID,pct_N,pct_C,pct_H,pct_S,C_N_ratio,C_H_ratio,CHNS_weight
ExRes 8,0.98,43.5,4.601,0.035,44.2129,9.4554,19.988
ExRes 31,1.13,43.7,4.495,0.083,38.6211,9.7216,20.314
ExRes 19,1.05,42.56,4.438,0.076,40.4513,9.5902,20.214
ExRes 11,0.87,44.06,4.424,0.046,50.8775,9.9589,20.337
ExRes 18,1.14,43.27,4.319,0.045,38.0149,10.0186,20.295
ExRes 22,1.27,43.89,4.277,0.066,34.5048,10.2623,19.875
ExRes 23,1.04,43.01,4.585,0.086,41.2757,9.3811,20.135
ExRes 39,1.5,44.05,4.454,0.11,29.4489,9.8913,21.233
ExRes 45,1.05,42.06,4.349,0.032,40.1379,9.6707,20.121
ExRes 37,1.2,45.02,4.225,0.06,37.5988,10.6556,20.677
ExRes 2,1.35,40.84,4.413,0.056,30.2366,9.2556,20.311
ExRes 14,1.19,43.69,4.036,0.047,36.8071,10.8251,20.279
ExRes 17,1.07,44.88,4.457,0.037,42.0502,10.0698,19.549
ExRes 40,1.45,45.57,4.183,0.07,31.4099,10.8949,19.555
ExRes 33,1.58,44.46,3.973,0.184,28.1368,11.1905,20.883
ExRes 34,1,43.64,4.221,0.055,43.6794,10.3383,19.807
ExRes 10,1.28,43.92,4.013,0.052,34.2056,10.9447,20.069
ExRes 16,1.55,43.82,4.083,0.096,28.2963,10.732,19.745
ExRes 13,1.14,42.27,3.844,0.052,37.1063,10.9956,20.525
ExRes 24,1.72,43.89,3.955,0.091,25.4854,11.0977,20.677
ExRes 29,1.13,43.62,4.087,0.045,38.573,10.6729,19.585
ExRes 44,1.07,43.72,4.488,0.239,40.8574,9.743,21.279
ExRes 21,1.5,43.92,4.368,0.271,29.2703,10.0553,20.176
ExRes 6,1.44,43.29,4.339,0.304,30.1443,9.9759,21.29
ExRes 25,1.01,43.59,4.458,0.121,43.0129,9.7764,20.103
ExRes 5,1.29,45.09,4.407,0.086,34.8919,10.23,20.628
ExRes 41,1.2,43.75,4.555,0.083,36.3993,9.6029,20.411
ExRes 30,1.43,43.85,4.477,0.093,30.6153,9.7945,20.684
ExRes 35,1.08,44.33,4.337,0.056,41.2308,10.2212,21.973
ExRes 3,1.05,43.87,4.385,0.046,41.629,10.005,20.35
ExRes 26,1.55,43.2,4.282,0.044,27.8553,10.0893,22.75
ExRes 36,1.31,43.64,4.111,0.034,33.3688,10.6156,23.581
ExRes 12,1.41,44.43,4.715,0.041,31.6111,9.4229,20.201
ExRes 20,1.21,43.78,5.038,0.058,36.1738,8.6889,20.987
ExRes 1,1.3,44.45,4.342,0.034,34.1279,10.2372,21.365
ExRes 42,0.97,44.87,4.799,0.038,46.0234,9.3494,20.185
ExRes 32,1.2,44.54,4.373,0.036,37.0858,10.1844,21.325
ExRes 15,1.11,44.75,4.592,0.031,40.4634,9.7452,20.232
ExRes 43,1.13,42.02,4.143,0.027,37.1912,10.1415,21.9
ExRes 4,1.26,43.66,4.484,0.036,34.5971,9.7352,20.315
ExRes 27,1.37,44.05,4.56,0.036,32.0904,9.6605,21.727
ExRes 28,1.33,45.61,4.778,0.041,34.309,9.5455,20.499
