,ID,d,a,p,CN,DetritusRecycling,isDetritus,isPlant,canIMM
1,mesostigs,2.444239672,60,30.926,8,0,0,0,0
2,zerconidae,2.444239672,90,30.926,8,0,0,0,0
5,prostig_astig,2.444239672,50,30.926,8,0,0,0,0
7,juv_oribatids,1.594069351,50,30.926,8,0,0,0,0
8,oribatids,1.594069351,50,30.926,8,0,0,0,0
9,collembola,2.444239672,50,30.926,8,0,0,0,0
10,predatory_nematodes,2.125425801,50,32.6932,10,0,0,0,0
11,bactivorous_nematodes,5.791785309,60,32.6932,10,0,0,0,0
12,fungivorous_nematodes,2.550510962,38,32.6932,10,0,0,0,0
13,omnivorous_nematodes,3.560088217,60,32.6932,10,0,0,0,0
14,protists,8.029300412,95,36.864,7,0,0,0,0
15,bacteria,8.029300412,100,27.648,4,0,0,0,1
16,fungi,1.605860082,100,27.648,10,0,0,0,1
17,labile,0,100,100,57.25,0,1,0,0
18,recalcitrant,0,100,100,18.81,1,1,0,0
