,ID,d,a,p,CN,DetritusRecycling,isDetritus,isPlant,canIMM
1,mesostigs,2.444239672,60,30.926,8,0,0,0,0
2,zerconidae,2.444239672,90,30.926,8,0,0,0,0
5,prostig_astig,2.444239672,50,30.926,8,0,0,0,0
7,juv_oribatids,1.594069351,50,30.926,8,0,0,0,0
8,oribatids,1.594069351,50,30.926,8,0,0,0,0
9,collembola,2.444239672,50,30.926,8,0,0,0,0
10,predatory_nematodes,2.125425801,50,32.6932,10,0,0,0,0
11,bactivorous_nematodes,5.791785309,60,32.6932,10,0,0,0,0
12,fungivorous_nematodes,2.550510962,38,32.6932,10,0,0,0,0
13,omnivorous_nematodes,3.560088217,60,32.6932,10,0,0,0,0
14,basal_resource,0,100,100,10,1,1,0,0
