Sample_ID,Enzyme_weight,Phenox,Perox
ExRes 22,1.09,169.0655499,175.9572072
ExRes 23,1.09,142.3787068,137.5398836
ExRes 39,1.04,103.6681212,137.8331456
ExRes 44,1.01,180.5027684,156.0153904
ExRes 45,1.11,193.6995589,164.8132508
ExRes 31,1.02,207.1896115,157.4817005
ExRes 7,1.09,189.8871528,175.0774212
ExRes 36,1.04,274.6398742,193.2596659
ExRes 18,0.93,82.84651839,99.12256006
ExRes 19,1.06,159.6811655,160.7075826
ExRes 20,0.95,205.1367774,168.3323949
ExRes 11,1.02,198.9782752,158.9480105
ExRes 8,0.91,136.8067286,116.7182808
ExRes 16,0.98,255.2845815,127.8622372
ExRes 5,0.93,220.386402,148.3905781
ExRes 17,0.98,58.69932432,70.38288288
ExRes 29,0.9954,124.0146396,144.4256757
ExRes 24,1.0721,55.60247748,55.46171171
ExRes 13,1.01642,120.9177928,123.3108108
ExRes 37,1.08,NA,NA
ExRes 33,0.94,198.3917511,322.5882132
ExRes 3,1.01,201.9108953,214.9610548
ExRes 43,0.97,104.8704955,100.5067568
ExRes 25,0.95,93.04617117,68.41216216
ExRes 21,0.9259,55.88400901,59.96621622
ExRes 32,1.02,159.7691441,144.9887387
ExRes 28,1.01,140.0619369,137.6689189
ExRes 38,1.04,141.7921828,154.2558183
ExRes 26,1.04,157.6283315,221.1195571
ExRes 10,1.04,138.9358108,158.2207207
ExRes 41,1.04,152.0563532,163.3469407
ExRes 27,1,184.5439189,265.4842342
ExRes 35,1.03,150.5900432,139.5927177
ExRes 42,1.05,142.0326577,132.3198198
ExRes 9,1.07,146.8186937,172.2972973
ExRes 14,1.04,157.9215935,174.1976351
ExRes 15,1.12,165.2531438,171.265015
ExRes 12,1.04,137.8096847,161.8806306
ExRes 1,1.07,184.6084366,211.7351727
ExRes 4,1.04,154.6957113,196.485548
ExRes 2,1.06,116.5716498,136.6600976
ExRes 6,1.05,162.3205236,208.2160285
ExRes 30,1.07,152.6428773,194.725976
ExRes 34,1.05,151.4698292,155.7221284
ExRes 40,1.01,145.1295045,162.4436937
