Sample_ID,extraction_type,tray_weight,wet_weight_tin,dry_weight_tin,wet_weight ,dry_weight ,pct_moisture
ExRes 1,Dry,201.84,267.7,209.9,65.86,8.06,717.12
ExRes 10,Dry,198.4,255.85,203.21,57.45,4.81,1094.39
ExRes 11,Dry,201.46,256.87,208.69,55.41,7.23,666.39
ExRes 12,Dry,200.81,281.18,207.53,80.37,6.72,1095.98
ExRes 13,Dry,198.48,275.77,205.16,77.29,6.68,1057.04
ExRes 14,Dry,199.1,267.07,204.02,67.97,4.92,1281.5
ExRes 15,Dry,198.88,254.17,203.43,55.29,4.55,1115.17
ExRes 16,Dry,199.88,249.43,205.39,49.55,5.51,799.27
ExRes 17,Dry,189.1,225.6,191.98,36.5,2.88,1167.36
ExRes 18,Dry,189.32,255.19,196.06,65.87,6.74,877.3
ExRes 19,Dry,199.65,254.32,206.41,54.67,6.76,708.73
ExRes 2,Dry,198.83,249.5,204.33,50.67,5.5,821.27
ExRes 20,Dry,202.59,251.21,208.2,48.62,5.61,766.67
ExRes 21,Dry,203.38,260.32,210.24,56.94,6.86,730.03
ExRes 22,Dry,202.58,231.91,206.64,29.33,4.06,622.41
ExRes 23,Dry,200.39,232.98,204.24,32.59,3.85,746.49
ExRes 24,Dry,199.04,262.73,204.11,63.69,5.07,1156.21
ExRes 25,Dry,192.11,224.64,196.32,32.53,4.21,672.68
ExRes 26,Dry,198.38,258.24,205.18,59.86,6.8,780.29
ExRes 27,Dry,202.36,240.8,207.91,38.44,5.55,592.61
ExRes 28,Dry,200.33,271.42,206.73,71.09,6.4,1010.78
ExRes 29,Dry,199,265.19,204.14,66.19,5.14,1187.74
ExRes 3,Dry,200.4,230.15,205.21,29.75,4.81,518.5
ExRes 30,Dry,201.39,273.6,209.82,72.21,8.43,756.58
ExRes 31,Dry,199.08,264.08,205.27,65,6.19,950.08
ExRes 32,Dry,203.3,277.1,209.72,73.8,6.42,1049.53
ExRes 33,Dry,202.17,254.39,208.13,52.22,5.96,776.17
ExRes 34,Dry,199.59,246.48,205.37,46.89,5.78,711.25
ExRes 35,Dry,199.81,247.46,206.78,47.65,6.97,583.64
ExRes 36,Dry,198.85,255.09,205.06,56.24,6.21,805.64
ExRes 37,Dry,202.43,258.53,207.85,56.1,5.42,935.06
ExRes 38,Dry,205.71,278.66,212.55,72.95,6.84,966.52
ExRes 39,Dry,203.37,237.17,208.13,33.8,4.76,610.08
ExRes 4,Dry,189.03,253.61,194.32,64.58,5.29,1120.79
ExRes 40,Dry,189.27,219.51,193.5,30.24,4.23,614.89
ExRes 41,Dry,198.01,268.21,205.4,70.2,7.39,849.93
ExRes 42,Dry,202.5,244.76,208.59,42.26,6.09,593.92
ExRes 43,Dry,202.55,236.5,206.82,33.95,4.27,695.08
ExRes 44,Dry,192.11,209.95,194.28,17.84,2.17,722.12
ExRes 45,Dry,202.18,234.7,206.02,32.52,3.84,746.88
ExRes 5,Dry,201.92,246.32,209.03,44.4,7.11,524.47
ExRes 6,Dry,199.01,256.68,205.36,57.67,6.35,808.19
ExRes 7,Dry,200.88,281.88,208.54,81,7.66,957.44
ExRes 8,Dry,198.04,236.07,203.82,38.03,5.78,557.96
ExRes 9,Dry,198.98,238.71,203.27,39.73,4.29,826.11
ExRes 1,Wet,4.49,25.74,6.5,21.25,2.01,957.21
ExRes 10,Wet,4.51,23.52,5.62,19.01,1.11,1612.61
ExRes 11,Wet,6.58,19.66,8.43,13.08,1.85,607.03
ExRes 12,Wet,4.48,26.1,6.03,21.62,1.55,1294.84
ExRes 13,Wet,4.35,24.95,6.02,20.6,1.67,1133.53
ExRes 14,Wet,4.5,19.24,5.49,14.74,0.99,1388.89
ExRes 15,Wet,4.48,23.23,5.82,18.75,1.34,1299.25
ExRes 16,Wet,6.57,24.8,8.67,18.23,2.1,768.1
ExRes 17,Wet,4.39,19.3,5.46,14.91,1.07,1293.46
ExRes 18,Wet,4.59,16.64,5.77,12.05,1.18,921.19
ExRes 19,Wet,4.66,17.56,6.09,12.9,1.43,802.1
ExRes 2,Wet,4.44,13.27,4.93,8.83,0.49,1702.04
ExRes 20,Wet,6.62,22.72,8.47,16.1,1.85,770.27
ExRes 21,Wet,4.33,29.05,6.79,24.72,2.46,904.88
ExRes 22,Wet,4.35,19.55,5.49,15.2,1.14,1233.33
ExRes 23,Wet,4.45,23.74,5.59,19.29,1.14,1592.11
ExRes 24,Wet,4.42,22.12,5.77,17.7,1.35,1211.11
ExRes 25,Wet,4.32,20.52,6.14,16.2,1.82,790.11
ExRes 26,Wet,4.53,25.24,6.13,20.71,1.6,1194.38
