Sample_ID,collembola,juv_oribatids,oribatids,prostigs,astigmata,zerconidae,mesostigs,others,total_ab
ExRes 1,2,164,74,13,22,1,3,0,279
ExRes 10,0,38,8,5,2,0,1,0,54
ExRes 11,4,108,46,9,10,2,2,0,181
ExRes 12,1,50,25,7,0,0,0,0,83
ExRes 13,0,30,21,3,0,0,0,2,56
ExRes 14,8,28,18,3,0,2,0,0,59
ExRes 15,1,44,28,4,0,5,4,3,89
ExRes 16,0,41,26,2,0,1,0,1,71
ExRes 17,0,17,8,4,0,3,0,0,32
ExRes 18,4,69,44,6,8,1,3,1,136
ExRes 19,4,133,78,13,42,9,6,1,286
ExRes 2,10,88,37,11,3,5,2,0,156
ExRes 20,7,101,71,8,72,2,4,0,265
ExRes 21,2,94,50,3,0,4,3,2,158
ExRes 22,1,92,34,3,6,5,0,2,143
ExRes 23,0,126,25,5,0,0,1,1,158
ExRes 24,0,24,17,3,1,1,1,3,50
ExRes 25,0,62,41,7,1,3,0,0,114
ExRes 26,0,179,77,4,1,0,0,0,261
ExRes 27,0,29,18,5,5,2,0,0,59
ExRes 28,0,19,13,3,7,2,0,1,45
ExRes 29,0,29,12,5,4,1,0,0,51
ExRes 3,20,123,60,15,21,8,4,0,251
ExRes 30,1,132,53,11,2,1,0,1,201
ExRes 31,0,124,26,4,0,0,0,0,154
ExRes 32,5,78,54,9,3,6,3,1,159
ExRes 33,2,51,20,5,2,0,3,5,88
ExRes 34,5,40,17,3,0,1,0,0,66
ExRes 35,9,65,38,13,2,7,0,0,134
ExRes 36,1,50,21,5,4,1,0,1,83
ExRes 37,0,101,45,6,0,11,1,3,167
ExRes 38,0,30,15,2,0,0,0,0,47
ExRes 39,1,223,63,6,1,0,0,2,296
ExRes 4,0,48,28,4,2,2,1,0,85
ExRes 40,2,104,39,7,1,2,1,1,157
ExRes 41,0,124,42,1,2,0,0,1,170
ExRes 42,4,82,35,12,4,6,3,1,147
ExRes 43,2,48,31,2,0,0,1,0,84
ExRes 44,5,59,25,5,4,3,0,0,101
ExRes 45,4,148,43,4,8,9,3,2,221
ExRes 5,55,274,94,46,336,19,15,1,840
ExRes 6,3,54,28,2,3,1,1,3,95
ExRes 7,1,72,18,3,2,1,0,0,97
ExRes 8,5,71,42,13,3,5,3,0,142
ExRes 9,1,18,15,2,3,0,1,2,42
