"","Sample_ID","n.bacterivore_biomass","n.fungivore_biomass","n.herbivore_biomass","n.omnivore_biomass","n.predator_biomass","total_microfauna_biomass"
"1","ExRes 1",0.00125258808389469,0.00629470826889405,6.074767731402e-06,0.00136271136544849,0.0036235727018231,0.0125335804200603
"2","ExRes 10",0.000343666673304439,0.00172704936124448,1.66670531533143e-06,0.000373880677661952,0.000994182518518214,0.00343877923072908
"3","ExRes 11",0.00375284007248448,0.0188593790247897,1.82004220434192e-05,0.00408277700006851,0.0108564731022189,0.0375514691995616
"4","ExRes 12",0.000295331618607428,0.0014841482252759,1.4322912774332e-06,0.000321296169448851,0.000854355557849201,0.00295513157118138
"5","ExRes 13",0.000228425154112532,0.00114791903651579,1.10781011977119e-06,0.000248507516290279,0.000660803949434262,0.00228565565635286
"6","ExRes 14",0.00215781014268727,0.0108437765954502,1.04648891314143e-05,0.00234751746701686,0.00624226114657497,0.0215913653517293
"7","ExRes 15",0.00102484479591384,0.00515021585636786,4.97026450751073e-06,0.00111494566263967,0.00296474130149163,0.010254747616413
"8","ExRes 16",0.00148954955257953,0.0074855253743082,7.22397703816506e-06,0.00162050568003766,0.00430907108740609,0.0149046516943315
"9","ExRes 17",0.00199647854323401,0.0100330269434539,9.68246751411228e-06,0.00217200214238008,0.00577555003281236,0.0199770576618803
"10","ExRes 18",0.000387935600713147,0.00194951673659122,1.88139955934022e-06,0.000422041578513322,0.00112224670734429,0.00388174062316198
"11","ExRes 19",0.00208074549473415,0.0104564988598984,1.00911430910066e-05,0.00226367755748054,0.00601932324848301,0.0208202451605961
"12","ExRes 2",0.00404825313941474,0.0203439365573533,1.96331083267204e-05,0.00440416177849956,0.0117110642793615,0.0405074157546291
"13","ExRes 20",0.0025156400485885,0.0126420013243096,1.2200282908226e-05,0.00273680656048548,0.00727741603555333,0.0251718639689369
"14","ExRes 21",0.000310138217372299,0.00155855674063526,1.50409991871373e-06,0.000337404513987615,0.000897189102077413,0.00310328857407259
"15","ExRes 22",0.00261005794514898,0.0131164854119778,1.26581882632802e-05,0.00283952535719051,0.00755055460116728,0.0261166233154846
"16","ExRes 23",0.00348007726019864,0.0174886472159704,1.68775843510403e-05,0.00378603380958734,0.0100674061348897,0.0348221644206461
"17","ExRes 24",0.000791197052318665,0.00397605141833173,3.8371260148519e-06,0.000860756404572848,0.00228882908707749,0.00791683396230073
"18","ExRes 25",0.00142527255500105,0.00716251020806226,6.91224819786901e-06,0.00155057766757825,0.00412312618119532,0.0142614866118369
"19","ExRes 26",0.000286102505525946,0.00143776859323603,1.38753217501341e-06,0.000311255664153575,0.000827656946666414,0.00286278370958196
"20","ExRes 27",0.00500861383719722,0.0251700964922745,2.42906396032882e-05,0.00544895412055113,0.0144892615599616,0.0501169260099845
"21","ExRes 28",0.000771512374451989,0.00387712879074884,3.74165979778898e-06,0.000839341116818628,0.00223188390112291,0.00771986618314237
"22","ExRes 29",0.00107376742814676,0.00539606978202163,5.2075281630133e-06,0.00116816940620601,0.00310626804674802,0.0107442746631224
"23","ExRes 3",0.00915528017683026,0.0460085949835529,4.44010296004292e-05,0.00996018125291439,0.0264850222933252,0.0916090787066227
"24","ExRes 30",0.00030893697779797,0.00155252007720322,1.49827417959195e-06,0.000336097665517944,0.000893714073865142,0.00309126879438428
"25","ExRes 31",0.00101997328173243,0.0051257347352443,4.94663877010129e-06,0.00110964586151007,0.00295064865121716,0.010206002529704
"26","ExRes 32",0.000842510445720577,0.00423391978376253,4.0859843190579e-06,0.000916581096893962,0.0024372719901833,0.00843028331656038
"27","ExRes 33",0.000329111378905663,0.00165390374123883,1.59611544315268e-06,0.000358045731313916,0.000952075964792737,0.00329313681625114
"28","ExRes 34",0.00158945836403303,0.00798760329575571,7.70851208340784e-06,0.00172919813418653,0.00459809414814674,0.015904353942122
