"","Sample_ID","n.bacterivore_biomass","n.fungivore_biomass","n.herbivore_biomass","n.omnivore_biomass","n.predator_biomass","total_microfauna_biomass"
"1","ExRes 1",0.000312369981219395,0.00156977216134951,1.51492346651588e-06,0.000339832486917054,0.00090364530157127,0.00312561993105723
"2","ExRes 1",0.00125258808389469,0.00629470826889405,6.074767731402e-06,0.00136271136544849,0.0036235727018231,0.0125335804200603
"3","ExRes 10",7.9307693839486e-05,0.000398549852594879,3.84624303538021e-07,8.62801563835273e-05,0.000229426735042665,0.000793564437860557
"4","ExRes 10",0.000343666673304439,0.00172704936124448,1.66670531533143e-06,0.000373880677661952,0.000994182518518214,0.00343877923072908
"5","ExRes 11",0.00375284007248448,0.0188593790247897,1.82004220434192e-05,0.00408277700006851,0.0108564731022189,0.0375514691995616
"6","ExRes 11",0.000960270281341118,0.00482570555959349,4.65709277736175e-06,0.00104469397650439,0.00277793571771853,0.00960860553515753
"7","ExRes 12",0.000295331618607428,0.0014841482252759,1.4322912774332e-06,0.000321296169448851,0.000854355557849201,0.00295513157118138
"8","ExRes 12",6.81196441728442e-05,0.000342325855532387,3.30364803574622e-07,7.41084914651368e-05,0.000197061177777718,0.000681615168948086
"9","ExRes 13",5.71062885281329e-05,0.000286979759128948,2.76952529942797e-07,6.21268790725698e-05,0.000165200987358566,0.000571413914088216
"10","ExRes 13",0.000228425154112532,0.00114791903651579,1.10781011977119e-06,0.000248507516290279,0.000660803949434262,0.00228565565635286
"11","ExRes 14",0.000434193504321219,0.00218197943688936,2.10573988619922e-06,0.000472366319582661,0.00125606474290838,0.00434460400370162
"12","ExRes 14",0.00215781014268727,0.0108437765954502,1.04648891314143e-05,0.00234751746701686,0.00624226114657497,0.0215913653517293
"13","ExRes 15",0.00102484479591384,0.00515021585636786,4.97026450751073e-06,0.00111494566263967,0.00296474130149163,0.010254747616413
"14","ExRes 15",0.000301822423411987,0.00151676686758965,1.46377020660756e-06,0.000328357623722452,0.000873132603076656,0.00302007951780075
"15","ExRes 16",0.00148954955257953,0.0074855253743082,7.22397703816506e-06,0.00162050568003766,0.00430907108740609,0.0149046516943315
"16","ExRes 16",0.000567704911146462,0.0028529225564514,2.75323988750393e-06,0.000617615594932683,0.00164229569574461,0.00568053875827516
