Sample_ID,ab_1,ab_2
ExRes 1,17,16
ExRes 10,2,3
ExRes 11,51,40
ExRes 12,2,4
ExRes 13,2,3
ExRes 14,14,14
ExRes 15,7,11
ExRes 16,18,23
ExRes 17,13,15
ExRes 18,3,3
ExRes 19,23,16
ExRes 2,10,16
ExRes 20,31,30
ExRes 21,4,6
ExRes 22,25,14
ExRes 23,24,28
ExRes 24,5,9
ExRes 25,16,18
ExRes 26,4,2
ExRes 27,45,41
ExRes 28,11,7
ExRes 29,12,7
ExRes 3,114,108
ExRes 30,12,11
ExRes 31,11,14
ExRes 32,11,7
ExRes 33,4,7
ExRes 34,6,4
ExRes 35,33,34
ExRes 36,4,8
ExRes 37,8,10
ExRes 38,2,1
ExRes 39,14,13
ExRes 4,2,8
ExRes 40,30,35
ExRes 41,12,10
ExRes 42,43,36
ExRes 43,8,8
ExRes 44,23,39
ExRes 45,29,40
ExRes 5,188,155
ExRes 6,13,16
ExRes 7,12,6
ExRes 8,51,56
ExRes 9,15,12
