"","Sample_ID","destructive_time","moisture_tx","temp_tx","block_effect","total_consumption","total_Cmin","total_Nmin"
"1","ExRes 11","T1","Ambient",20,"low","40.5735658995772","10.2981983954305","0.931957230561336"
"2","ExRes 13","T1","High",12,"low","8.67147054933981","2.12465513185406","0.184108226540379"
"3","ExRes 16","T1","Ambient",20,"low","22.0785510186885","5.59769144549523","0.504314290387306"
"4","ExRes 17","T1","High",12,"low","17.8657174134494","4.23420524528035","0.385870507083406"
"5","ExRes 18","T1","High",20,"low","34.769679583466","8.90529857126588","0.802178243097507"
"6","ExRes 19","T1","High",20,"high","78.3889979265692","19.8032292287378","1.81135414889285"
"7","ExRes 20","T1","Ambient",20,"low","67.6266285199666","17.2663997091662","1.55763654757818"
"8","ExRes 21","T1","Ambient",12,"low","26.5423365989055","6.45006226806606","0.572586117244602"
"9","ExRes 24","T1","High",12,"low","12.1046426719588","2.94333634890709","0.260812167578474"
"10","ExRes 25","T1","Ambient",12,"low","32.5541911027152","7.88317690989197","0.695566238332019"
"11","ExRes 29","T1","High",12,"low","10.5495628584109","2.55290976481623","0.225305545213391"
"12","ExRes 3","T1","Ambient",12,"high","61.460621080553","14.8059410473588","1.32704132786837"
"13","ExRes 31","T1","High",20,"low","28.0472759106914","7.18290571421049","0.639448819213329"
"14","ExRes 33","T1","Ambient",12,"low","14.9924218438608","3.69055708098787","0.324770989618155"
"15","ExRes 36","T1","High",20,"low","19.9763139827476","5.07485914330415","0.456258797496666"
"16","ExRes 37","T1","High",12,"high","39.6198733735635","9.46640715986372","0.855725921862107"
"17","ExRes 43","T1","Ambient",12,"low","21.0036430316749","5.14717166042545","0.449078427186276"
"18","ExRes 5","T1","Ambient",20,"high","159.419572102987","40.1226223879862","3.68993733108816"
"19","ExRes 7","T1","High",20,"low","16.3902724611258","4.15910334541869","0.374356863178644"
"20","ExRes 8","T1","Ambient",20,"low","54.1643070160253","13.6422695064143","1.24956683710378"
