"","node","ExRes_11_model","ExRes_13_model","ExRes_16_model","ExRes_17_model","ExRes_18_model","ExRes_19_model","ExRes_20_model","ExRes_21_model","ExRes_24_model","ExRes_25_model","ExRes_29_model","ExRes_3_model","ExRes_31_model","ExRes_33_model","ExRes_36_model","ExRes_37_model","ExRes_43_model","ExRes_5_model","ExRes_7_model","ExRes_8_model"
"1","bactivorous_nematodes",0.0170068225479632,0.00030637909653273,0.00893929755438549,0.0187228635419896,0.00541520475522227,0.0453984596234598,0.0166238808976775,0.00939746500381431,0.00409932283783087,0.0128878589434926,0.00443695003989625,0.0378983942364009,0.00232656380301497,0.000441426197346988,0.00671724677131947,0.0324270008606074,0.00163728992876292,0.115131233215688,0.00616154732844455,0.0364791628779669
"2","basal_resource",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","collembola",0.0085858190143544,NA,NA,NA,0.0104568894330397,0.0104159975979443,0.0212888947002617,0.00298469511152493,NA,NA,NA,0.0407416940255315,NA,0.00374854705029415,0.00223848721842454,NA,0.00448926901016832,0.133169151154745,0.00181475269274366,0.0145797419913878
"4","fungivorous_nematodes",0.0728806829398492,0.00106275197606961,0.0399281570343971,0.0899208466962308,0.0259124618743385,0.221166123055152,0.0751050822488099,0.0465781442130675,0.0189486920942761,0.0617904209972632,0.0200554308658508,0.171338435493229,0.00827145209219976,0.00153119638157367,0.0311099343128222,0.161142723123948,0.00567934674551168,0.529275844966967,0.027765955910233,0.168523533776927
"5","juv_oribatids",0.279325550082585,0.0434657631375241,0.118071200211793,0.0571293062719587,0.229077643628565,0.439669780123589,0.385264551567208,0.174797153356447,0.0608976595766492,0.142531911805518,0.0546056266861295,0.306550978701721,0.317865033424113,0.123133803990415,0.127758594157138,0.197025263367749,0.130552171273416,0.835033558008667,0.14914731754449,0.258406067340483
"6","mesostigs",0.014394376160409,NA,NA,NA,0.0231612773678986,0.0461855057572887,0.0371020818680062,0.0142438299480924,0.00642423888520146,NA,NA,0.0270859801646331,NA,0.0163947438664286,NA,0.00600938951069584,0.00762784336018065,0.109779894134765,NA,0.0270081331245045
"7","omnivorous_nematodes",0.0166261784426247,0.000262228320998485,0.00898067126744462,0.0197476036132904,0.00569738477070185,0.0483496935967913,0.0168279740582222,0.0101271421882615,0.00421349846183458,0.0135773664395299,0.00449287194966143,0.0383811386849528,0.00202128231942171,0.000377814452263859,0.00691330509615777,0.0350073832012132,0.00140134817500235,0.117904692615911,0.0062265631329121,0.0374806441545571
"8","oribatids",0.390553155644951,0.117704819538643,0.289655891257547,0.104003729433616,0.400731421344897,0.708285781433026,0.776883869593206,0.272896083061966,0.125542963339986,0.364630652361086,0.0874116947768914,0.467043774587548,0.257835857969158,0.125642089248664,0.20758134013013,0.31085985550269,0.271822393554837,0.811556704089224,0.144246190474611,0.446048485193117
"9","predatory_nematodes",0.0117560843443142,0.000180024428742763,0.00648176416300181,0.0160862239449966,0.00424852495251681,0.0363509981336767,0.0122130083559375,0.00836819305950805,0.00337153258256151,0.0110512534413038,0.00355680563363026,0.0303875535006239,0.00129111515221393,0.000259376373932822,0.00507720488498103,0.0289608192816165,0.000962050580570202,0.0862864237799521,0.00451336822286987,0.0274934197020111
"10","prostig_astig",0.114330452172843,0.0211262600418678,0.0279940303507588,0.0653349153146653,0.0939921731306596,0.224257255844961,0.207952635732925,0.0248388821264147,0.0344882208384002,0.0788867856008377,0.0479586132115271,0.183782995877482,0.0498375144532087,0.0532419920572371,0.0650799691770038,0.0552144846342668,0.0249067145578264,0.889025900685135,0.0314145014494473,0.213227004652719
"11","zerconidae",0.00649810921144103,NA,0.00426327854797812,0.0149250182666585,0.00348526183966754,0.0312745537269576,0.00837456855592134,0.00835452917550562,0.00282603896173416,0.0102099887429873,0.00278755204980392,0.0238303825962447,NA,NA,0.00378271574868911,0.0290790023793198,NA,0.0627739284371064,0.00306666642289287,0.0203206442901032
