Sample_ID,pH,pH_weight
ExRes 1,4.21,
ExRes 10,4.25,
ExRes 11,4.01,
ExRes 12,4.22,
ExRes 13,4.15,
ExRes 14,4.38,
ExRes 15,4.07,
ExRes 16,3.96,
ExRes 17,4.72,
ExRes 18,4.22,
ExRes 19,4.17,
ExRes 2,4.51,
ExRes 20,3.97,
ExRes 21,4.11,
ExRes 22,3.91,
ExRes 23,4.1,
ExRes 24,4.05,
ExRes 25,3.59,
ExRes 26,4.23,
ExRes 27,4.04,
ExRes 28,4.17,
ExRes 29,4.24,
ExRes 3,4,
ExRes 30,4.27,
ExRes 31,4.2,
ExRes 32,4.17,
ExRes 33,4.16,
ExRes 34,3.99,
ExRes 35,4.25,
ExRes 36,4.1,
ExRes 37,4.18,
ExRes 38,4.39,
ExRes 39,4.15,
ExRes 4,4.39,
ExRes 40,4.09,
ExRes 41,4.14,
ExRes 42,4.34,
ExRes 43,4.18,
ExRes 44,4.21,
ExRes 45,4.02,
ExRes 5,3.95,
ExRes 6,4.33,
ExRes 7,3.88,
ExRes 8,3.93,
ExRes 9,4.26,
