"","Label","X.Msgs","Obs.","Port.","X.Raw","IV.Date","Lin_Flux","Lin_FluxCV","Exp_Flux","Exp_FluxCV","Sampling_Time"
"1","Dummy",0,1,1,93,"9/17/21 21:20",0,45.2,0,4.9,"W0"
"2","ExRes 1",0,2,2,93,"9/17/21 21:22",0.1,3.5,0.15,2.4,"W0"
"3","ExRes 2",0,3,3,91,"9/17/21 21:25",-0.02,5.1,-0.02,5.1,"W0"
"4","ExRes 3",0,4,4,93,"9/17/21 21:27",0.14,3.3,0.2,2.4,"W0"
"5","ExRes 4",0,5,5,92,"9/17/21 21:29",0.12,3.2,0.17,2.3,"W0"
"6","ExRes 5",0,6,6,91,"9/17/21 21:32",0.22,3.3,0.31,2.3,"W0"
"7","ExRes 6",0,7,7,93,"9/17/21 21:34",0.03,3.1,0.03,2.9,"W0"
"8","ExRes 7",0,8,8,92,"9/17/21 21:36",0.04,3.1,0.06,2.4,"W0"
"9","ExRes 8",0,9,9,91,"9/17/21 21:39",0.13,3.7,0.2,2.3,"W0"
"10","ExRes 9",0,10,10,92,"9/17/21 21:41",0.09,3.5,0.14,2.3,"W0"
"11","ExRes 10",0,11,11,92,"9/17/21 21:43",0.04,3.2,0.05,2.4,"W0"
"12","ExRes 11",0,12,12,92,"9/17/21 21:45",0.14,3.4,0.2,2.4,"W0"
"13","ExRes 12",0,13,13,93,"9/17/21 21:48",0.09,3.4,0.13,2.3,"W0"
"14","ExRes 13",0,14,14,92,"9/17/21 21:50",0.07,2.7,0.08,2.2,"W0"
"15","ExRes 14",0,15,15,92,"9/17/21 21:52",0.06,2.6,0.07,2.1,"W0"
"16","ExRes 15",0,16,16,93,"9/17/21 21:55",0.12,3.9,0.18,2.5,"W0"
"17","Dummy",0,1,1,94,"9/17/21 23:27",0,9.9,0,2,"W0"
"18","ExRes 16",0,2,2,93,"9/17/21 23:29",0.07,3.2,0.11,2.2,"W0"
"19","ExRes 17",0,3,3,93,"9/17/21 23:31",0.15,3.7,0.24,2.3,"W0"
"20","ExRes 18",0,4,4,93,"9/17/21 23:34",0.1,3.4,0.15,2.3,"W0"
"21","ExRes 19",0,5,5,94,"9/17/21 23:36",0.12,3.3,0.17,2.3,"W0"
"22","ExRes 20",0,6,6,90,"9/17/21 23:38",0.15,3,0.2,2.2,"W0"
