Sample_ID,destructive_time,moisture_tx,temp_tx,block_effect
ExRes 1,T2,High,12,low
ExRes 2,T2,Ambient,12,low
ExRes 3,T1,Ambient,12,high
ExRes 4,T2,High,12,low
ExRes 5,T1,Ambient,20,high
ExRes 6,T2,Ambient,12,low
ExRes 7,T1,High,20,low
ExRes 8,T1,Ambient,20,low
ExRes 9,T2,Ambient,20,low
ExRes 10,T2,High,20,low
ExRes 11,T1,Ambient,20,low
ExRes 12,T2,High,12,low
ExRes 13,T1,High,12,low
ExRes 14,T2,High,12,low
ExRes 15,T2,High,12,low
ExRes 16,T1,Ambient,20,low
ExRes 17,T1,High,12,low
ExRes 18,T1,High,20,low
ExRes 19,T1,High,20,high
ExRes 20,T1,Ambient,20,low
ExRes 21,T1,Ambient,12,low
ExRes 22,T0,Ambient,12,low
ExRes 23,T0,Ambient,12,low
ExRes 24,T1,High,12,low
ExRes 25,T1,Ambient,12,low
ExRes 26,T2,High,20,low
ExRes 27,T2,Ambient,20,low
ExRes 28,T2,High,20,low
ExRes 29,T1,High,12,low
ExRes 30,T2,Ambient,12,low
ExRes 31,T1,High,20,low
ExRes 32,T2,High,20,low
ExRes 33,T1,Ambient,12,low
ExRes 34,T2,Ambient,12,low
ExRes 35,T2,Ambient,20,low
ExRes 36,T1,High,20,low
ExRes 37,T1,High,12,high
ExRes 38,T2,High,20,low
ExRes 39,T0,Ambient,12,low
ExRes 40,T2,Ambient,12,low
ExRes 41,T2,Ambient,20,low
ExRes 42,T2,Ambient,20,low
ExRes 43,T1,Ambient,12,low
ExRes 44,T0,Ambient,12,low
ExRes 45,T0,Ambient,12,low
