"","x"
"1","X"
"2","ExRes.1"
"3","ExRes.10"
"4","ExRes.11"
"5","ExRes.12"
"6","ExRes.13"
"7","ExRes.14"
"8","ExRes.15"
"9","ExRes.16"
"10","ExRes.17"
"11","ExRes.18"
"12","ExRes.19"
"13","ExRes.2"
"14","ExRes.20"
"15","ExRes.21"
"16","ExRes.22"
"17","ExRes.23"
"18","ExRes.24"
"19","ExRes.25"
"20","ExRes.26"
"21","ExRes.27"
"22","ExRes.28"
"23","ExRes.29"
"24","ExRes.3"
"25","ExRes.30"
"26","ExRes.31"
"27","ExRes.32"
"28","ExRes.33"
"29","ExRes.34"
"30","ExRes.35"
"31","ExRes.36"
"32","ExRes.37"
"33","ExRes.38"
"34","ExRes.39"
"35","ExRes.4"
"36","ExRes.40"
"37","ExRes.41"
"38","ExRes.42"
"39","ExRes.43"
"40","ExRes.44"
"41","ExRes.45"
"42","ExRes.5"
"43","ExRes.6"
"44","ExRes.7"
"45","ExRes.8"
"46","ExRes.9"
