Sample_ID,tray_weight,wet_weight_tin,dry_weight_tin,wet_weight ,dry_weight ,pct_moisture
ExRes 22,4.41,14.9,5.66,10.49,1.25,739.2
ExRes 23,4.86,15.05,6.06,10.19,1.2,749.167
ExRes 39,4.41,14.43,5.65,10.02,1.24,708.065
ExRes 44,4.5,14.8,5.66,10.3,1.16,787.931
ExRes 45,4.42,14.87,5.36,10.45,0.94,1011.702
ExRes 31,4.41,15.76,5.57,11.35,1.16,878.448
ExRes 7,4.47,15.01,5.47,10.54,1,954
ExRes 36,4.41,15.57,5.66,11.16,1.25,792.8
ExRes 18,4.43,15.17,5.44,10.74,1.01,963.366
ExRes 19,4.44,13.75,5.15,9.31,0.71,1211.268
ExRes 20,4.47,14.28,5.54,9.81,1.07,816.822
ExRes 11,4.42,13.61,5.56,9.19,1.14,706.14
ExRes 8,4.41,13.75,5.67,9.34,1.26,641.27
ExRes 16,4.47,14.78,5.47,10.31,1,931
ExRes 5,4.38,14.96,5.88,10.58,1.5,605.333
ExRes 17,4.51,14.51,5.27,10,0.76,1215.789
ExRes 29,4.41,14.84,5.21,10.43,0.8,1203.75
ExRes 24,4.39,14.38,5.38,9.99,0.99,909.091
ExRes 13,4.38,14.6,5.22,10.22,0.84,1116.667
ExRes 37,4.37,14.69,5.38,10.32,1.01,921.782
ExRes 33,4.42,15.02,5.53,10.6,1.11,854.955
ExRes 3,4.45,14.77,5.86,10.32,1.41,631.915
ExRes 25,4.86,14.28,6.09,9.42,1.23,665.854
ExRes 21,4.42,15.27,5.52,10.85,1.1,886.364
ExRes 43,4.44,15.35,5.45,10.91,1.01,980.198
ExRes 32,4.41,14.6,5.4,10.19,0.99,929.293
ExRes 28,4.5,14.97,5.72,10.47,1.22,758.197
ExRes 38,4.52,14.46,5.37,9.94,0.85,1069.412
ExRes 26,4.49,14.81,5.59,10.32,1.1,838.182
ExRes 10,4.47,14.84,5.37,10.37,0.9,1052.222
ExRes 41,4.52,14.98,5.69,10.46,1.17,794.017
ExRes 27,4.5,15,6.08,10.5,1.58,564.557
ExRes 35,4.51,14.87,5.97,10.36,1.46,609.589
ExRes 42,4.53,14.97,5.9,10.44,1.37,662.044
ExRes 9,4.53,15,5.68,10.47,1.15,810.435
ExRes 14,4.4,14.85,5.21,10.45,0.81,1190.123
ExRes 15,4.5,14.83,5.53,10.33,1.03,902.913
ExRes 12,4.45,14.78,5.46,10.33,1.01,922.772
ExRes 1,4.47,14.73,5.56,10.26,1.09,841.284
ExRes 4,4.44,14.65,5.51,10.21,1.07,854.206
ExRes 2,4.46,14.64,5.48,10.18,1.02,898.039
ExRes 6,4.47,14.73,5.47,10.26,1,926
ExRes 30,4.48,14.44,5.44,9.96,0.96,937.5
ExRes 34,4.44,14.56,5.71,10.12,1.27,696.85
ExRes 40,4.48,14.59,5.74,10.11,1.26,702.381
