"","Sample_ID","destructive_time","moisture_tx","temp_tx","block_effect","total_Cmin"
"1","ExRes 11","T1","Ambient",20,"low","10.2981983954305"
"2","ExRes 13","T1","High",12,"low","2.12465513185406"
"3","ExRes 16","T1","Ambient",20,"low","5.59769144549523"
"4","ExRes 17","T1","High",12,"low","4.23420524528035"
"5","ExRes 18","T1","High",20,"low","8.90529857126588"
"6","ExRes 19","T1","High",20,"high","19.8032292287378"
"7","ExRes 20","T1","Ambient",20,"low","17.2663997091662"
"8","ExRes 21","T1","Ambient",12,"low","6.45006226806606"
"9","ExRes 24","T1","High",12,"low","2.94333634890709"
"10","ExRes 25","T1","Ambient",12,"low","7.88317690989197"
"11","ExRes 29","T1","High",12,"low","2.55290976481623"
"12","ExRes 3","T1","Ambient",12,"high","14.8059410473588"
"13","ExRes 31","T1","High",20,"low","7.18290571421049"
"14","ExRes 33","T1","Ambient",12,"low","3.69055708098787"
"15","ExRes 36","T1","High",20,"low","5.07485914330415"
"16","ExRes 37","T1","High",12,"high","9.46640715986372"
"17","ExRes 43","T1","Ambient",12,"low","5.14717166042545"
"18","ExRes 5","T1","Ambient",20,"high","40.1226223879862"
"19","ExRes 7","T1","High",20,"low","4.15910334541869"
"20","ExRes 8","T1","Ambient",20,"low","13.6422695064143"
