"","Sample_ID","destructive_time","moisture_tx","temp_tx","block_effect","total_Nmin"
"1","ExRes 11","T1","Ambient",20,"low","0.931957230561336"
"2","ExRes 13","T1","High",12,"low","0.184108226540379"
"3","ExRes 16","T1","Ambient",20,"low","0.504314290387306"
"4","ExRes 17","T1","High",12,"low","0.385870507083406"
"5","ExRes 18","T1","High",20,"low","0.802178243097507"
"6","ExRes 19","T1","High",20,"high","1.81135414889285"
"7","ExRes 20","T1","Ambient",20,"low","1.55763654757818"
"8","ExRes 21","T1","Ambient",12,"low","0.572586117244602"
"9","ExRes 24","T1","High",12,"low","0.260812167578474"
"10","ExRes 25","T1","Ambient",12,"low","0.695566238332019"
"11","ExRes 29","T1","High",12,"low","0.225305545213391"
"12","ExRes 3","T1","Ambient",12,"high","1.32704132786837"
"13","ExRes 31","T1","High",20,"low","0.639448819213329"
"14","ExRes 33","T1","Ambient",12,"low","0.324770989618155"
"15","ExRes 36","T1","High",20,"low","0.456258797496666"
"16","ExRes 37","T1","High",12,"high","0.855725921862107"
"17","ExRes 43","T1","Ambient",12,"low","0.449078427186276"
"18","ExRes 5","T1","Ambient",20,"high","3.68993733108816"
"19","ExRes 7","T1","High",20,"low","0.374356863178644"
"20","ExRes 8","T1","Ambient",20,"low","1.24956683710378"
