"","Sample_ID","destructive_time","moisture_tx","temp_tx","block_effect","total_consumption"
"1","ExRes 11","T1","Ambient",20,"low","40.5735658995772"
"2","ExRes 13","T1","High",12,"low","8.67147054933981"
"3","ExRes 16","T1","Ambient",20,"low","22.0785510186885"
"4","ExRes 17","T1","High",12,"low","17.8657174134494"
"5","ExRes 18","T1","High",20,"low","34.769679583466"
"6","ExRes 19","T1","High",20,"high","78.3889979265692"
"7","ExRes 20","T1","Ambient",20,"low","67.6266285199666"
"8","ExRes 21","T1","Ambient",12,"low","26.5423365989055"
"9","ExRes 24","T1","High",12,"low","12.1046426719588"
"10","ExRes 25","T1","Ambient",12,"low","32.5541911027152"
"11","ExRes 29","T1","High",12,"low","10.5495628584109"
"12","ExRes 3","T1","Ambient",12,"high","61.460621080553"
"13","ExRes 31","T1","High",20,"low","28.0472759106914"
"14","ExRes 33","T1","Ambient",12,"low","14.9924218438608"
"15","ExRes 36","T1","High",20,"low","19.9763139827476"
"16","ExRes 37","T1","High",12,"high","39.6198733735635"
"17","ExRes 43","T1","Ambient",12,"low","21.0036430316749"
"18","ExRes 5","T1","Ambient",20,"high","159.419572102987"
"19","ExRes 7","T1","High",20,"low","16.3902724611258"
"20","ExRes 8","T1","Ambient",20,"low","54.1643070160253"
