"","mesostigs","zerconidae","prostig_astig","juv_oribatids","oribatids","collembola","predatory_nematodes","bactivorous_nematodes","fungivorous_nematodes","omnivorous_nematodes","basal_resource"
"1",0,0,0.0108421775541994,0.0369988496543069,0,0.0015048112676842,0,0,0,0,0
"2",0,0,0,0,0,0,0.00623129680071725,0.00215401971425911,0.0200969381232976,0.00234339386966251,0
"3",0,0,0,0,0,0,0,0,0,0,0.481996283166853
"4",0,0,0,0,0,0,0,0,0,0,1.14623941516747
"5",0,0,0,0,0,0,0,0,0,0,1.96585371428571
"6",0,0,0,0,0,0,0,0,0,0,0.0668973953124812
"7",0,0,0,0,0,0,0,0.00395343676855636,0.0368854442631574,0.00430100960831731,0
"8",0,0,0,0,0,0,0,0,0,0,0.036504698581655
"9",0,0,0,0,0,0,0,0,0,0,0.46362431736319
"10",0,0,0,0,0,0,8.76884958333483e-11,3.03119486648459e-11,2.82809554936461e-10,0,0.0359439619684685
"11",0,0,0,0,0,0,0,0,0,0,0
