"","mesostigs","zerconidae","prostig_astig","juv_oribatids","oribatids","predatory_nematodes","bactivorous_nematodes","fungivorous_nematodes","omnivorous_nematodes","basal_resource"
"1",0,0,0.0025228758578607,0.00686542623737739,0,0,0,0,0,0
"2",0,0,0,0,0,0.0072929069643858,0.0025209952944501,0.0235208009966724,0.00274263236353937,0
"3",0,0,0,0,0,0,0,0,0,0.295659276902061
"4",0,0,0,0,0,0,0,0,0,0.538364287070728
"5",0,0,0,0,0,0,0,0,0,0.975735771428571
"6",0,0,0,0,0,0,0.00385257023894304,0.0359443502791812,0.00419127470939552,0
"7",0,0,0,0,0,0,0,0,0,0.0322948020211651
"8",0,0,0,0,0,0,0,0,0,0.446195684020864
"9",0,0,0,0,0,3.27053430498662e-11,1.13055077124562e-11,1.05480005320291e-10,0,0.0336312058727384
"10",0,0,0,0,0,0,0,0,0,0
