"","mesostigs","zerconidae","prostig_astig","juv_oribatids","oribatids","collembola","predatory_nematodes","bactivorous_nematodes","fungivorous_nematodes","omnivorous_nematodes","basal_resource"
"1",0,0,0.00465609619824697,0.0201411376071291,0,0.000166807783293587,0,0,0,0,0
"2",0,0,0,0,0,0,0.00394834687992406,0.00136485494166139,0.0127340535007036,0.00148484836459916,0
"3",0,0,0,0,0,0,0,0,0,0,0.392787342625741
"4",0,0,0,0,0,0,0,0,0,0,1.15341587041006
"5",0,0,0,0,0,0,0,0,0,0,1.88759542376093
"6",0,0,0,0,0,0,0,0,0,0,0.0140718711855324
"7",0,0,0,0,0,0,0,0.00240348528879539,0.0224244418373271,0.00261479157342668,0
"8",0,0,0,0,0,0,0,0,0,0,0.0217922398838691
"9",0,0,0,0,0,0,0,0,0,0,0.299749511407373
"10",0,0,0,0,0,0,1.05392508892863e-11,3.64318260150645e-12,3.39907786126659e-11,0,0.022625932646587
"11",0,0,0,0,0,0,0,0,0,0,0
