"","Sample_ID","collembola","juv_oribatids","oribatids","prostigs","astigmata","zerconidae","mesostigs","microfauna"
"1","ExRes 1",1861.04218362283,152605.459057072,68858.5607940447,12096.7741935484,20471.4640198511,930.521091811414,2791.56327543424,61567.1641791045
"2","ExRes 10",0,59251.5592515593,12474.0124740125,7796.2577962578,3118.50311850312,0,1559.25155925156,16891.8918918919
"3","ExRes 11",4149.377593361,112033.195020747,47717.8423236514,9336.09958506224,10373.4439834025,2074.6887966805,2074.6887966805,184459.459459459
"4","ExRes 12",1116.07142857143,55803.5714285714,27901.7857142857,7812.5,0,0,0,14516.1290322581
"5","ExRes 13",0,33682.6347305389,23577.8443113772,3368.26347305389,0,0,0,11227.5449101796
"6","ExRes 14",12195.1219512195,42682.9268292683,27439.0243902439,4573.17073170732,0,3048.78048780488,0,106060.606060606
"7","ExRes 15",1648.35164835165,72527.4725274725,46153.8461538462,6593.40659340659,0,8241.75824175824,6593.40659340659,50373.1343283582
"8","ExRes 16",0,55807.6225045372,35390.1996370236,2722.32304900181,0,1361.16152450091,0,73214.2857142857
"9","ExRes 17",0,44270.8333333333,20833.3333333333,10416.6666666667,0,7812.5,0,98130.8411214953
"10","ExRes 18",4451.03857566766,76780.4154302671,48961.4243323442,6676.55786350148,8902.07715133531,1112.75964391691,3338.27893175074,19067.7966101695
"11","ExRes 19",4437.86982248521,147559.171597633,86538.4615384615,14423.0769230769,46597.6331360947,9985.20710059172,6656.80473372781,102272.727272727
"12","ExRes 2",13636.3636363636,120000,50454.5454545455,15000,4090.90909090909,6818.18181818182,2727.27272727273,198979.591836735
"13","ExRes 20",9358.28877005348,135026.737967914,94919.7860962567,10695.1871657754,96256.6844919786,2673.79679144385,5347.5935828877,123648.648648649
"14","ExRes 21",2186.5889212828,102769.679300292,54664.72303207,3279.8833819242,0,4373.1778425656,3279.8833819242,15243.9024390244
"15","ExRes 22",1847.29064039409,169950.738916256,62807.881773399,5541.87192118227,11083.7438423645,9236.45320197044,0,128289.473684211
"16","ExRes 23",0,245454.545454545,48701.2987012987,9740.25974025974,0,0,1948.05194805195,171052.631578947
"17","ExRes 24",0,35502.9585798817,25147.9289940828,4437.86982248521,1479.2899408284,1479.2899408284,1479.2899408284,38888.8888888889
"18","ExRes 25",0,110451.306413302,73040.3800475059,12470.3087885986,1781.47268408551,5344.41805225653,0,70054.9450549451
"19","ExRes 26",0,197426.470588235,84926.4705882353,4411.76470588235,1102.94117647059,0,0,14062.5
"20","ExRes 27",0,39189.1891891892,24324.3243243243,6756.75675675676,6756.75675675676,2702.7027027027,0,246183.20610687
"21","ExRes 28",0,22265.625,15234.375,3515.625,8203.125,2343.75,0,37921.3483146067
"22","ExRes 29",0,42315.1750972763,17509.7276264591,7295.71984435798,5836.57587548638,1459.1439688716,0,52777.7777777778
"23","ExRes 3",31185.0311850312,191787.941787942,93555.0935550936,23388.7733887734,32744.2827442827,12474.0124740125,6237.00623700624,450000
"24","ExRes 30",889.679715302491,117437.722419929,47153.024911032,9786.4768683274,1779.35943060498,889.679715302491,0,15184.8591549296
"25","ExRes 31",0,150242.326332795,31502.4232633279,4846.52665589661,0,0,0,50133.6898395722
"26","ExRes 32",5841.1214953271,91121.4953271028,63084.1121495327,10514.0186915888,3504.67289719626,7009.34579439252,3504.67289719626,41411.0429447853
"27","ExRes 33",2516.77852348993,64177.8523489933,25167.7852348993,6291.94630872483,2516.77852348993,0,3775.1677852349,16176.4705882353
"28","ExRes 34",6487.8892733564,51903.1141868512,22058.8235294118,3892.73356401384,0,1297.57785467128,0,78125
"29","ExRes 35",9684.36154949785,69942.6111908178,40889.5265423242,13988.5222381636,2152.08034433286,7532.28120516499,0,211134.453781513
"30","ExRes 36",1207.72946859903,60386.4734299517,25362.3188405797,6038.64734299517,4830.91787439614,1207.72946859903,0,38793.1034482759
"31","ExRes 37",0,139760.147601476,62269.3726937269,8302.58302583026,0,15221.4022140221,1383.76383763838,42721.5189873418
"32","ExRes 38",0,32894.7368421053,16447.3684210526,2192.98245614035,0,0,0,6465.51724137931
"33","ExRes 39",1575.63025210084,351365.546218487,99264.705882353,9453.78151260504,1575.63025210084,0,0,43454.9356223176
"34","ExRes 4",0,68052.9300567108,39697.5425330813,5671.0775047259,2835.53875236295,2835.53875236295,1417.76937618147,35714.2857142857
"35","ExRes 40",3546.09929078014,184397.163120567,69148.9361702128,12411.3475177305,1773.04964539007,3546.09929078014,1773.04964539007,203125
"36","ExRes 41",0,125845.737483085,42625.1691474966,1014.8849797023,2029.7699594046,0,0,69915.2542372881
"37","ExRes 42",4926.10837438424,100985.221674877,43103.4482758621,14778.3251231527,4926.10837438424,7389.16256157636,3694.58128078818,198825.503355705
