"","Sample_ID","collembola","juv_oribatids","oribatids","prostigs","astigmata","zerconidae","mesostigs","microfauna"
"1","ExRes 11",4149.377593361,112033.195020747,47717.8423236514,9336.09958506224,10373.4439834025,2074.6887966805,2074.6887966805,184459.459459459
"2","ExRes 13",0,33682.6347305389,23577.8443113772,3368.26347305389,0,0,0,11227.5449101796
"3","ExRes 16",0,55807.6225045372,35390.1996370236,2722.32304900181,0,1361.16152450091,0,73214.2857142857
"4","ExRes 17",0,44270.8333333333,20833.3333333333,10416.6666666667,0,7812.5,0,98130.8411214953
"5","ExRes 18",4451.03857566766,76780.4154302671,48961.4243323442,6676.55786350148,8902.07715133531,1112.75964391691,3338.27893175074,19067.7966101695
"6","ExRes 19",4437.86982248521,147559.171597633,86538.4615384615,14423.0769230769,46597.6331360947,9985.20710059172,6656.80473372781,102272.727272727
"7","ExRes 20",9358.28877005348,135026.737967914,94919.7860962567,10695.1871657754,96256.6844919786,2673.79679144385,5347.5935828877,123648.648648649
"8","ExRes 21",2186.5889212828,102769.679300292,54664.72303207,3279.8833819242,0,4373.1778425656,3279.8833819242,15243.9024390244
"9","ExRes 24",0,35502.9585798817,25147.9289940828,4437.86982248521,1479.2899408284,1479.2899408284,1479.2899408284,38888.8888888889
"10","ExRes 25",0,110451.306413302,73040.3800475059,12470.3087885986,1781.47268408551,5344.41805225653,0,70054.9450549451
"11","ExRes 29",0,42315.1750972763,17509.7276264591,7295.71984435798,5836.57587548638,1459.1439688716,0,52777.7777777778
"12","ExRes 3",31185.0311850312,191787.941787942,93555.0935550936,23388.7733887734,32744.2827442827,12474.0124740125,6237.00623700624,450000
"13","ExRes 31",0,150242.326332795,31502.4232633279,4846.52665589661,0,0,0,50133.6898395722
"14","ExRes 33",2516.77852348993,64177.8523489933,25167.7852348993,6291.94630872483,2516.77852348993,0,3775.1677852349,16176.4705882353
"15","ExRes 36",1207.72946859903,60386.4734299517,25362.3188405797,6038.64734299517,4830.91787439614,1207.72946859903,0,38793.1034482759
"16","ExRes 37",0,139760.147601476,62269.3726937269,8302.58302583026,0,15221.4022140221,1383.76383763838,42721.5189873418
"17","ExRes 43",3512.88056206089,84309.1334894614,54449.6487119438,3512.88056206089,0,0,1756.44028103045,60000
"18","ExRes 7",979.11227154047,70496.0835509138,17624.0208877285,2937.33681462141,1958.22454308094,979.11227154047,0,46875
"19","ExRes 8",6487.8892733564,92128.0276816609,54498.2698961938,16868.5121107266,3892.73356401384,6487.8892733564,3892.73356401384,216891.891891892
