"","X","Sample_ID","collembola","juv_oribatids","oribatids","prostigs","astigmata","zerconidae","mesostigs","microfauna"
"1",1,"ExRes 1",1861.04218362283,152605.459057072,68858.5607940447,12096.7741935484,20471.4640198511,930.521091811414,2791.56327543424,61567.1641791045
"2",2,"ExRes 10",0,59251.5592515593,12474.0124740125,7796.2577962578,3118.50311850312,0,1559.25155925156,16891.8918918919
"3",4,"ExRes 12",1116.07142857143,55803.5714285714,27901.7857142857,7812.5,0,0,0,14516.1290322581
"4",6,"ExRes 14",12195.1219512195,42682.9268292683,27439.0243902439,4573.17073170732,0,3048.78048780488,0,106060.606060606
"5",7,"ExRes 15",1648.35164835165,72527.4725274725,46153.8461538462,6593.40659340659,0,8241.75824175824,6593.40659340659,50373.1343283582
"6",12,"ExRes 2",13636.3636363636,120000,50454.5454545455,15000,4090.90909090909,6818.18181818182,2727.27272727273,198979.591836735
"7",19,"ExRes 26",0,197426.470588235,84926.4705882353,4411.76470588235,1102.94117647059,0,0,14062.5
"8",20,"ExRes 27",0,39189.1891891892,24324.3243243243,6756.75675675676,6756.75675675676,2702.7027027027,0,246183.20610687
"9",21,"ExRes 28",0,22265.625,15234.375,3515.625,8203.125,2343.75,0,37921.3483146067
"10",24,"ExRes 30",889.679715302491,117437.722419929,47153.024911032,9786.4768683274,1779.35943060498,889.679715302491,0,15184.8591549296
"11",26,"ExRes 32",5841.1214953271,91121.4953271028,63084.1121495327,10514.0186915888,3504.67289719626,7009.34579439252,3504.67289719626,41411.0429447853
"12",28,"ExRes 34",6487.8892733564,51903.1141868512,22058.8235294118,3892.73356401384,0,1297.57785467128,0,78125
"13",29,"ExRes 35",9684.36154949785,69942.6111908178,40889.5265423242,13988.5222381636,2152.08034433286,7532.28120516499,0,211134.453781513
"14",32,"ExRes 38",0,32894.7368421053,16447.3684210526,2192.98245614035,0,0,0,6465.51724137931
"15",34,"ExRes 4",0,68052.9300567108,39697.5425330813,5671.0775047259,2835.53875236295,2835.53875236295,1417.76937618147,35714.2857142857
"16",35,"ExRes 40",3546.09929078014,184397.163120567,69148.9361702128,12411.3475177305,1773.04964539007,3546.09929078014,1773.04964539007,203125
"17",36,"ExRes 41",0,125845.737483085,42625.1691474966,1014.8849797023,2029.7699594046,0,0,69915.2542372881
"18",37,"ExRes 42",4926.10837438424,100985.221674877,43103.4482758621,14778.3251231527,4926.10837438424,7389.16256157636,3694.58128078818,198825.503355705
"19",42,"ExRes 6",3543.30708661417,63779.5275590551,33070.8661417323,2362.20472440945,3543.30708661417,1181.10236220472,1181.10236220472,159926.470588235
"20",45,"ExRes 9",1748.25174825175,31468.5314685315,26223.7762237762,3496.5034965035,5244.75524475524,0,1748.25174825175,89601.7699115044
