"","Sample_ID","destructive_time","moisture_tx","temp_tx","block_effect","total_micro_ab_standardized","total_meso_ab_standardized","total_ab_standardized","tx"
"1","ExRes 1","T2","High","12","low",61567.1641791045,259615.384615385,321182.548794489,"12.High.T2"
"2","ExRes 10","T2","High","20","low",16891.8918918919,84199.5841995842,101091.476091476,"20.High.T2"
"3","ExRes 11","T1","Ambient","20","low",184459.459459459,187759.336099585,372218.795559044,"20.Ambient.T1"
"4","ExRes 12","T2","High","12","low",14516.1290322581,92633.9285714286,107150.057603687,"12.High.T2"
"5","ExRes 13","T1","High","12","low",11227.5449101796,62874.251497006,74101.7964071856,"12.High.T1"
"6","ExRes 14","T2","High","12","low",106060.606060606,89939.0243902439,195999.63045085,"12.High.T2"
"7","ExRes 15","T2","High","12","low",50373.1343283582,146703.296703297,197076.431031655,"12.High.T2"
"8","ExRes 16","T1","Ambient","20","low",73214.2857142857,96642.4682395644,169856.75395385,"20.Ambient.T1"
"9","ExRes 17","T1","High","12","low",98130.8411214953,83333.3333333333,181464.174454829,"12.High.T1"
"10","ExRes 18","T1","High","20","low",19067.7966101695,151335.3115727,170403.10818287,"20.High.T1"
"11","ExRes 19","T1","High","20","high",102272.727272727,317307.692307692,419580.41958042,"20.High.T1"
"12","ExRes 2","T2","Ambient","12","low",198979.591836735,212727.272727273,411706.864564007,"12.Ambient.T2"
"13","ExRes 20","T1","Ambient","20","low",123648.648648649,354278.07486631,477926.723514959,"20.Ambient.T1"
"14","ExRes 21","T1","Ambient","12","low",15243.9024390244,172740.524781341,187984.427220365,"12.Ambient.T1"
"15","ExRes 22","T0","Ambient","12","low",128289.473684211,264162.561576355,392452.035260565,"12.Ambient.T0"
"16","ExRes 23","T0","Ambient","12","low",171052.631578947,307792.207792208,478844.839371155,"12.Ambient.T0"
"17","ExRes 24","T1","High","12","low",38888.8888888889,73964.4970414201,112853.385930309,"12.High.T1"
"18","ExRes 25","T1","Ambient","12","low",70054.9450549451,203087.885985748,273142.831040693,"12.Ambient.T1"
"19","ExRes 26","T2","High","20","low",14062.5,287867.647058824,301930.147058824,"20.High.T2"
"20","ExRes 27","T2","Ambient","20","low",246183.20610687,79729.7297297297,325912.9358366,"20.Ambient.T2"
"21","ExRes 28","T2","High","20","low",37921.3483146067,52734.375,90655.7233146067,"20.High.T2"
"22","ExRes 29","T1","High","12","low",52777.7777777778,74416.3424124514,127194.120190229,"12.High.T1"
"23","ExRes 3","T1","Ambient","12","high",450000,391372.141372141,841372.141372141,"12.Ambient.T1"
"24","ExRes 30","T2","Ambient","12","low",15184.8591549296,178825.622775801,194010.48193073,"12.Ambient.T2"
"25","ExRes 31","T1","High","20","low",50133.6898395722,186591.276252019,236724.966091592,"20.High.T1"
"26","ExRes 32","T2","High","20","low",41411.0429447853,185747.663551402,227158.706496187,"20.High.T2"
"27","ExRes 33","T1","Ambient","12","low",16176.4705882353,110738.255033557,126914.725621792,"12.Ambient.T1"
"28","ExRes 34","T2","Ambient","12","low",78125,85640.1384083045,163765.138408304,"12.Ambient.T2"
"29","ExRes 35","T2","Ambient","20","low",211134.453781513,144189.383070301,355323.836851814,"20.Ambient.T2"
"30","ExRes 36","T1","High","20","low",38793.1034482759,100241.54589372,139034.649341996,"20.High.T1"
"31","ExRes 37","T1","High","12","high",42721.5189873418,231088.560885609,273810.079872951,"12.High.T1"
"32","ExRes 38","T2","High","20","low",6465.51724137931,51535.0877192982,58000.6049606776,"20.High.T2"
"33","ExRes 39","T0","Ambient","12","low",43454.9356223176,466386.554621849,509841.490244166,"12.Ambient.T0"
"34","ExRes 4","T2","High","12","low",35714.2857142857,120510.396975425,156224.682689711,"12.High.T2"
"35","ExRes 40","T2","Ambient","12","low",203125,278368.794326241,481493.794326241,"12.Ambient.T2"
"36","ExRes 41","T2","Ambient","20","low",69915.2542372881,172530.446549391,242445.700786679,"20.Ambient.T2"
"37","ExRes 42","T2","Ambient","20","low",198825.503355705,181034.482758621,379859.986114325,"20.Ambient.T2"
"38","ExRes 43","T1","Ambient","12","low",60000,147540.983606557,207540.983606557,"12.Ambient.T1"
"39","ExRes 44","T0","Ambient","12","low",276785.714285714,349078.341013825,625864.055299539,"12.Ambient.T0"
"40","ExRes 45","T0","Ambient","12","low",237385.321100917,431640.625,669025.946100917,"12.Ambient.T0"
"41","ExRes 5","T1","Ambient","20","high",722612.359550562,886075.949367089,1608688.30891765,"20.Ambient.T1"
"42","ExRes 6","T2","Ambient","12","low",159926.470588235,112204.724409449,272131.194997684,"12.Ambient.T2"
"43","ExRes 7","T1","High","20","low",46875,94973.8903394256,141848.890339426,"20.High.T1"
"44","ExRes 8","T1","Ambient","20","low",216891.891891892,184256.055363322,401147.947255214,"20.Ambient.T1"
"45","ExRes 9","T2","Ambient","20","low",89601.7699115044,73426.5734265734,163028.343338078,"20.Ambient.T2"
