"","Sample_ID","destructive_time","moisture_tx","temp_tx","block_effect","mesostigs_biomass","zerconidae_biomass","prostig_astig_biomass","juv_oribatids_biomass","oribatids_biomass","collembola_biomass","n.predator_biomass","n.bacterivore_biomass","n.fungivore_biomass","n.omnivore_biomass","protists_biomass","bacteria_biomass","fungi_biomass","labile_biomass","recal_biomass","total_biomass","bact.ch_biomass","fung.ch_biomass","meso_biomass","micro_biomass","tx"
"1","ExRes 1","T2","High","12","low",0.00522367749379652,0.00110640061228288,0.0520221919364144,0.187935682239454,0.328054510475807,0.00130946325,0.000666915221194437,0.000230537684152397,0.00215090931646455,0.00025080577278193,2.59,10.94,81.21,135707,135707,0.578951094002348,0.0555863144768261,0.525591963769498,0.575651926007755,0.00329916799459332,"12.High.T2"
"2","ExRes 10","T2","High","20","low",0.00291772977130977,0,0.0311655366751559,0.0729690948180874,0.0594284284864866,0,0.000182978377641389,6.32515349640073e-05,0.000590134824746622,6.88123946617089e-05,2.59,10.94,81.21,135707,135707,0.167385966883053,0.031480578982423,0.136157178672934,0.16648078975104,0.000905177132013727,"20.High.T2"
"3","ExRes 11","T1","Ambient","20","low",0.003882235186722,0.00246682958091287,0.0388776715404564,0.137970391556017,0.227336343134855,0.00291957781327801,0.00199812388384396,0.000690706761806957,0.00644427228623309,0.000751431349705859,2.59,10.94,81.21,135707,135707,0.42333758309383,0.0477043409300041,0.381302375210654,0.413453048812241,0.00988453428158987,"20.Ambient.T1"
"4","ExRes 12","T2","High","12","low",0,0,0.0304977598828125,0.0687228512834821,0.13292910203683,0.000785288228794644,0.000157243354205375,5.43555126271341e-05,0.000507135217137098,5.91342643157396e-05,2.59,10.94,81.21,135707,135707,0.233712869780205,0.0315537812427554,0.203160754384765,0.23293500143192,0.000777868348285347,"12.High.T2"
"5","ExRes 13","T1","High","12","low",0,0,0.0131487347997754,0.0414806192178143,0.112329071134356,0,0.000121620358791582,4.20414394072142e-05,0.000392245302675897,4.57375796853273e-05,2.59,10.94,81.21,135707,135707,0.167560069832506,0.0133581341776596,0.154369293593323,0.166958425151946,0.00060164468056002,"12.High.T1"
"6","ExRes 14","T2","High","12","low",0,0.00362503615243903,0.0178523472484756,0.0525646003963415,0.130724424246951,0.00858071040243901,0.00114888241961502,0.000397142971046736,0.00370533138446969,0.000432058429512305,2.59,10.94,81.21,135707,135707,0.21903053365129,0.0320361776235277,0.197156007279329,0.213347118446646,0.00568341520464376,"12.High.T2"
"7","ExRes 15","T2","High","12","low",0.0123378287472527,0.00979954828021978,0.0257387687802198,0.0893185611758241,0.2198851854,0.00115981030714286,0.000545657908249993,0.000188621741579234,0.00175983489528918,0.000205204723185215,2.59,10.94,81.21,135707,135707,0.360939021958963,0.0376376117405968,0.325212083156944,0.35823970269066,0.00269931926830362,"12.High.T2"
"8","ExRes 16","T1","Ambient","20","low",0,0.00161843719328494,0.0106271685980036,0.0687278402382032,0.168605246518149,0,0.00079308056823425,0.00027415022440114,0.00255781294040178,0.000298252579148035,2.59,10.94,81.21,135707,135707,0.253501988859826,0.013611089163072,0.240982232844136,0.249578692547641,0.00392329631218521,"20.Ambient.T1"
"9","ExRes 17","T1","High","12","low",0,0.009289155140625,0.0406636798437501,0.0545201286848958,0.0992537295208332,0,0.00106298466861577,0.000367450038632027,0.00342829726226635,0.000399754995530077,2.59,10.94,81.21,135707,135707,0.208985180155148,0.051783024687153,0.158664895132141,0.203726693190104,0.00525848696504423,"12.High.T1"
"10","ExRes 18","T1","High","20","low",0.00624671225519287,0.00132308441172106,0.0281505983390208,0.0945561177540802,0.233260990446587,0.00313183198664689,0.000206548473744348,7.13991903153031e-05,0.000666152192002119,7.76763641435561e-05,2.59,10.94,81.21,135707,135707,0.367691111413455,0.0329611387655919,0.338146029472397,0.366669335193249,0.00102177622020533,"20.High.T1"
"11","ExRes 19","T1","High","20","high",0.0124564617159763,0.0118725296471894,0.0672290986253697,0.181721111133506,0.412284722625,0.00312256621153846,0.00110785090462877,0.000382959293509352,0.00357299812073863,0.000416627771315436,2.59,10.94,81.21,135707,135707,0.694166926048772,0.0841316324535511,0.614682338482703,0.68868648995858,0.00548043609019219,"20.High.T1"
"12","ExRes 2","T2","Ambient","12","low",0.00510337461818182,0.00810689903181818,0.0595148764213636,0.1477816194,0.240374486766818,0.00959479435909088,0.00215541060356347,0.00074507726492296,0.00695154736415817,0.000810581922423233,2.59,10.94,81.21,135707,135707,0.481138667752341,0.0809276396031824,0.412771815034236,0.470476050597273,0.0106626171550678,"12.Ambient.T2"
"13","ExRes 20","T1","Ambient","20","low",0.0100066168983957,0.00317917609090909,0.0643198251016043,0.166287249993315,0.452214853217914,0.00658466279545455,0.00133940172433497,0.000463001235936534,0.00431978691714528,0.00050370672892371,2.59,10.94,81.21,135707,135707,0.709218280703934,0.0763897736771631,0.641256278275484,0.702592384097593,0.0066258966063405,"20.Ambient.T1"
"14","ExRes 21","T1","Ambient","12","low",0.00613744032069971,0.00519976031195336,0.0128037242656706,0.126562246935132,0.260432526439504,0.00153852387682216,0.000165126828603205,5.70806535041041e-05,0.000532560695503049,6.2098990304469e-05,2.59,10.94,81.21,135707,135707,0.413491089317697,0.0198263149268578,0.395430524086569,0.412674222149782,0.000816867167914827,"12.Ambient.T1"
"15","ExRes 24","T1","High","12","low",0.00276810260355029,0.00175889328106509,0.0176710138949704,0.0437223726035504,0.119809235634615,0,0.000421256887192176,0.000145619089383803,0.00135862150763889,0.000158421424154512,2.59,10.94,81.21,135707,135707,0.187813536926121,0.020155204576766,0.168238010660701,0.185729618017751,0.00208391890836938,"12.High.T1"
"16","ExRes 25","T1","Ambient","12","low",0,0.00635457643824228,0.0490982038948932,0.136022274388361,0.347977446016033,0,0.000758857579361102,0.000262320102147432,0.00244743827317995,0.000285382392805812,2.59,10.94,81.21,135707,135707,0.543206499085024,0.0567593404074498,0.487491398649741,0.53945250073753,0.00375399834749429,"12.Ambient.T1"
"17","ExRes 26","T2","High","20","low",0,0,0.0174808661669118,0.243133362799632,0.404604909164338,0,0.000152329499386457,5.2656902857536e-05,0.000491287241601563,5.72863185558726e-05,2.59,10.94,81.21,135707,135707,0.665972698093283,0.0177431388877116,0.648439175023514,0.665219138130882,0.000753559962401428,"20.High.T2"
"18","ExRes 27","T2","Ambient","20","low",0,0.00321354556216216,0.0279606679932433,0.0482620153445946,0.115885435548649,0,0.00266673525643466,0.000921830767582309,0.0086006519649332,0.00100287499151248,2.59,10.94,81.21,135707,135707,0.208513757429111,0.0357656545709349,0.176417713106123,0.195321664448649,0.0131920929804626,"20.Ambient.T2"
"19","ExRes 28","T2","High","20","low",0,0.0027867465421875,0.0156473425558594,0.0274204176621094,0.0725792897121094,0,0.000410776178120781,0.000141996142537176,0.00132481952791432,0.000154479960150668,2.59,10.94,81.21,135707,135707,0.120465868280989,0.0191413413788555,0.101889783040405,0.118433796472266,0.00203207180872295,"20.High.T2"
"20","ExRes 29","T1","High","12","low",0,0.00173493948151752,0.0298488745870623,0.0521117091755837,0.0834194769513616,0,0.000571705775475096,0.000197625907020876,0.00184384347465278,0.000215000504209695,2.59,10.94,81.21,135707,135707,0.169943175856884,0.0325681462552855,0.138161735881283,0.167115000195525,0.00282817566135845,"12.High.T1"
"21","ExRes 3","T1","Ambient","12","high",0.0116709190852391,0.0148317487484408,0.098980472764553,0.236189438490125,0.445713213648649,0.0219423571621622,0.00487454398036661,0.00168502089144115,0.01572119173125,0.00183316219378792,2.59,10.94,81.21,135707,135707,0.853442068696015,0.144147305740752,0.73794482629158,0.829328149899169,0.0241139187968457,"12.Ambient.T1"
"22","ExRes 30","T2","Ambient","12","low",0,0.00105783973131673,0.0386207981414591,0.144626139982207,0.224645451869217,0.000625994887010676,0.000164487252858615,5.68595664658841e-05,0.000530497960414833,6.18584660462475e-05,2.59,10.94,81.21,135707,135707,0.410389927856996,0.0405878380451572,0.370654430417754,0.40957622461121,0.00081370324578558,"12.Ambient.T2"
"23","ExRes 31","T1","High","20","low",0,0,0.0189194503957997,0.185025452399031,0.150083183895799,0,0.000543064168935674,0.000187725143877134,0.00175146966702874,0.00020422929966443,2.59,10.94,81.21,135707,135707,0.356714574970136,0.0198544690082769,0.337607399430459,0.35402808669063,0.00268648827950598,"20.High.T1"
"24","ExRes 32","T2","High","20","low",0.00655807485981308,0.00833419526635513,0.0418654394614487,0.112217351179907,0.300544003408878,0.0041099197021028,0.000448577666904903,0.000155063272218511,0.00144673543539111,0.000168695907403797,2.59,10.94,81.21,135707,135707,0.475848056160423,0.0550818912764338,0.425493358160401,0.473628983878505,0.00221907228191832,"20.High.T2"
"25","ExRes 33","T1","Ambient","12","low",0.007064235,0,0.0251520522495805,0.0790358912479027,0.11990383432047,0.0017708513078859,0.000175228705176577,6.05726464243552e-05,0.000565140879227941,6.58979873583894e-05,2.59,10.94,81.21,135707,135707,0.233793704344026,0.0272246028964257,0.208581079448021,0.232926864125839,0.000866840218187263,"12.Ambient.T1"
"26","ExRes 34","T2","Ambient","12","low",0,0.00154283545588235,0.0151961156509516,0.0639193855536332,0.10509218419853,0.00456499731617647,0.000846274996591425,0.000292538349208534,0.00272937356445313,0.000318257325310404,2.59,10.94,81.21,135707,135707,0.194501962410737,0.0227610190941207,0.177470472954694,0.190315518175173,0.00418644423556349,"12.Ambient.T2"
"27","ExRes 35","T2","Ambient","20","low",0,0.0089559716707317,0.0551117686237448,0.0861352695570301,0.194805024368006,0.00681409355487805,0.00228707595717481,0.000790591034499702,0.00737618939771535,0.00086009710772963,2.59,10.94,81.21,135707,135707,0.36313608127151,0.0748195979487587,0.298277749942533,0.35182212777439,0.0113139534971195,"20.Ambient.T2"
"28","ExRes 36","T1","High","20","low",0,0.00143600465942029,0.0247058317838164,0.0743667569444444,0.120830627242754,0.000849780498792268,0.000420219308652294,0.000145260421675962,0.00135527514924569,0.000158031223602407,2.59,10.94,81.21,135707,135707,0.224267787232403,0.0277151278959596,0.197980690367491,0.222189001129227,0.00207878610317635,"20.High.T1"
"29","ExRes 37","T1","High","12","high",0.00258935059040591,0.0180984277278597,0.0324109034916974,0.17211650783441,0.296662438789207,0,0.000462773162693033,0.000159970337795046,0.00149251820233386,0.000174034385486195,2.59,10.94,81.21,135707,135707,0.524166924521887,0.0513061091055314,0.473497622964535,0.521877628433579,0.00228929608830814,"12.High.T1"
"30","ExRes 38","T2","High","20","low",0,0,0.00856077470394736,0.0405103123355264,0.0783582075164472,0,7.0036551442049e-05,2.42100702793269e-05,0.000225879191540948,2.63385372670679e-05,2.59,10.94,81.21,135707,135707,0.12777575890645,0.00868135986293581,0.119190774132224,0.127429294555921,0.000346464350529392,"20.High.T2"
"31","ExRes 4","T2","High","12","low",0.00265298302457466,0.00337148920037807,0.0228030967712665,0.0838081017391305,0.189126199162571,0,0.000386868569870366,0.000133731816781044,0.00124771362946429,0.000145489062999042,2.59,10.94,81.21,135707,135707,0.303675672977035,0.0268406754212951,0.27736735518861,0.301761869897921,0.00191380307911474,"12.High.T2"
"32","ExRes 40","T2","Ambient","12","low",0.00331779673758865,0.00421635410638298,0.0488660610868795,0.227087594822695,0.32943791075,0.00249510018794326,0.0022003149911377,0.000760599707942187,0.00709637126757813,0.000827469045807049,2.59,10.94,81.21,135707,135707,0.626305572703954,0.0593658991260926,0.572462557802749,0.615420817691489,0.0108847550124651,"12.Ambient.T2"
"33","ExRes 41","T2","Ambient","20","low",0,0,0.00443773118504736,0.154980723998647,0.203073936448579,0,0.000757344403729275,0.000261797031156111,0.0024425580373411,0.000284813335193039,2.59,10.94,81.21,135707,135707,0.366238904439692,0.00574168595512578,0.361539376223489,0.362492391632273,0.00374651280741953,"20.Ambient.T2"
"34","ExRes 42","T2","Ambient","20","low",0.00691343852216749,0.00878580190640395,0.0588453467635468,0.124364663288178,0.205352543836207,0.00346609976847291,0.00215374146783536,0.000744500282012591,0.00694616413181629,0.000809954213138961,2.59,10.94,81.21,135707,135707,0.418382254179779,0.0748054444014105,0.350006605227816,0.407727894084976,0.0106543600948032,"20.Ambient.T2"
"35","ExRes 43","T1","Ambient","12","low",0.00328671667447308,0,0.0137132784484778,0.103827835644028,0.259407873876464,0.00247172688407494,0.000649939197382214,0.000224669452192154,0.0020961588975,0.00024442162583839,2.59,10.94,81.21,135707,135707,0.38592262070043,0.0173040356079654,0.37198467279976,0.382707431527518,0.00321518917291276,"12.Ambient.T1"
"36","ExRes 6","T2","Ambient","12","low",0.00221012286614172,0.00140434471417322,0.0100521535322835,0.0785453488937008,0.157555526546457,0.00249313554212598,0.0017323746989048,0.000598843208968056,0.00558718823782168,0.000651491465929531,2.59,10.94,81.21,135707,135707,0.260830529706506,0.0169323431623851,0.248775188251081,0.252260632094882,0.00856989761162406,"12.Ambient.T2"
