"","Sample_ID","destructive_time","moisture_tx","temp_tx","block_effect","mean_flux","se_flux"
"1","ExRes 1","T2","High","12","low",337.061273142857,209.518179397075
"2","ExRes 10","T2","High","20","low",2002.54050514286,1223.83374334305
"3","ExRes 11","T1","Ambient","20","low",2255.33646,1029.87837331141
"4","ExRes 12","T2","High","12","low",1467.20789485714,1035.00676585148
"5","ExRes 13","T1","High","12","low",3920.815692,3417.71685141518
"6","ExRes 14","T2","High","12","low",436.196941714286,274.971203628091
"7","ExRes 15","T2","High","12","low",535.332610285714,221.37833115524
"8","ExRes 16","T1","Ambient","20","low",242.882388,242.882388
"9","ExRes 17","T1","High","12","low",902.134584,433.371436258921
"10","ExRes 18","T1","High","20","low",520.46226,332.203117525418
"11","ExRes 19","T1","High","20","high",936.832068,504.805664394961
"12","ExRes 2","T2","Ambient","12","low",118.962802285714,118.962802285714
"13","ExRes 20","T1","Ambient","20","low",1561.38678,520.46226
"14","ExRes 21","T1","Ambient","12","low",936.832068,373.166023099549
"15","ExRes 22","T0","Ambient","12","low",1110.319488,NA
"16","ExRes 23","T0","Ambient","12","low",832.739616,NA
"17","ExRes 24","T1","High","12","low",138.789936,138.789936
"18","ExRes 25","T1","Ambient","12","low",173.48742,131.362554310581
"19","ExRes 26","T2","High","20","low",1130.14662171429,709.264730326054
"20","ExRes 27","T2","Ambient","20","low",2101.67617371429,780.678965364699
"21","ExRes 28","T2","High","20","low",118.962802285714,97.8049281080527
"22","ExRes 29","T1","High","12","low",8431.488612,5629.51752615942
"23","ExRes 3","T1","Ambient","12","high",832.739616,396.625278739123
"24","ExRes 30","T2","Ambient","12","low",812.912482285714,348.529204628776
"25","ExRes 31","T1","High","20","low",1318.504392,568.0222936728
"26","ExRes 32","T2","High","20","low",456.024075428571,215.681792710217
"27","ExRes 33","T1","Ambient","12","low",451.067292,364.461244420178
"28","ExRes 34","T2","Ambient","12","low",237.925604571429,144.343712229459
"29","ExRes 35","T2","Ambient","20","low",495.678342857143,198.271337142857
"30","ExRes 36","T1","High","20","low",1665.479232,1040.15317901227
"31","ExRes 37","T1","High","12","high",728.647164,317.376098857751
"32","ExRes 38","T2","High","20","low",574.986877714286,263.036652793965
"33","ExRes 39","T0","Ambient","12","low",1387.89936,NA
"34","ExRes 4","T2","High","12","low",495.678342857143,232.352803085851
"35","ExRes 40","T2","Ambient","12","low",297.407005714286,126.438467539944
"36","ExRes 41","T2","Ambient","20","low",971.529552,445.118047923671
"37","ExRes 42","T2","Ambient","20","low",356.888406857143,170.943164614528
"38","ExRes 43","T1","Ambient","12","low",173.48742,173.48742
"39","ExRes 44","T0","Ambient","12","low",832.739616,NA
"40","ExRes 45","T0","Ambient","12","low",1804.269168,NA
"41","ExRes 6","T2","Ambient","12","low",317.234139428571,120.059256821591
"42","ExRes 7","T1","High","20","low",1804.269168,1624.49455150798
"43","ExRes 8","T1","Ambient","20","low",451.067292,451.067292
"44","ExRes 9","T2","Ambient","20","low",198.271337142857,176.227419190684
