"","Sample_ID","destructive_time","moisture_tx","temp_tx","block_effect","ab_1","ab_2","mean_abundance","extraction_type","tray_weight","wet_weight_tin","dry_weight_tin","wet_weight","dry_weight","pct_moisture","total_micro_ab_standardized"
"1","ExRes 1","T2","High",12,"low",17,16,16.5,"Wet",4.49,25.74,6.5,21.25,2.01,957.21,61567.1641791045
"2","ExRes 10","T2","High",20,"low",2,3,2.5,"Wet",4.51,23.52,5.62,19.01,1.11,1612.61,16891.8918918919
"3","ExRes 11","T1","Ambient",20,"low",51,40,45.5,"Wet",6.58,19.66,8.43,13.08,1.85,607.03,184459.459459459
"4","ExRes 12","T2","High",12,"low",2,4,3,"Wet",4.48,26.1,6.03,21.62,1.55,1294.84,14516.1290322581
"5","ExRes 13","T1","High",12,"low",2,3,2.5,"Wet",4.35,24.95,6.02,20.6,1.67,1133.53,11227.5449101796
"6","ExRes 14","T2","High",12,"low",14,14,14,"Wet",4.5,19.24,5.49,14.74,0.99,1388.89,106060.606060606
"7","ExRes 15","T2","High",12,"low",7,11,9,"Wet",4.48,23.23,5.82,18.75,1.34,1299.25,50373.1343283582
"8","ExRes 16","T1","Ambient",20,"low",18,23,20.5,"Wet",6.57,24.8,8.67,18.23,2.1,768.1,73214.2857142857
"9","ExRes 17","T1","High",12,"low",13,15,14,"Wet",4.39,19.3,5.46,14.91,1.07,1293.46,98130.8411214953
"10","ExRes 18","T1","High",20,"low",3,3,3,"Wet",4.59,16.64,5.77,12.05,1.18,921.19,19067.7966101695
"11","ExRes 19","T1","High",20,"high",23,16,19.5,"Wet",4.66,17.56,6.09,12.9,1.43,802.1,102272.727272727
"12","ExRes 2","T2","Ambient",12,"low",10,16,13,"Wet",4.44,13.27,4.93,8.83,0.49,1702.04,198979.591836735
"13","ExRes 20","T1","Ambient",20,"low",31,30,30.5,"Wet",6.62,22.72,8.47,16.1,1.85,770.27,123648.648648649
"14","ExRes 21","T1","Ambient",12,"low",4,6,5,"Wet",4.33,29.05,6.79,24.72,2.46,904.88,15243.9024390244
"15","ExRes 22","T0","Ambient",12,"low",25,14,19.5,"Wet",4.35,19.55,5.49,15.2,1.14,1233.33,128289.473684211
"16","ExRes 23","T0","Ambient",12,"low",24,28,26,"Wet",4.45,23.74,5.59,19.29,1.14,1592.11,171052.631578947
"17","ExRes 24","T1","High",12,"low",5,9,7,"Wet",4.42,22.12,5.77,17.7,1.35,1211.11,38888.8888888889
"18","ExRes 25","T1","Ambient",12,"low",16,18,17,"Wet",4.32,20.52,6.14,16.2,1.82,790.11,70054.9450549451
"19","ExRes 26","T2","High",20,"low",4,2,3,"Wet",4.53,25.24,6.13,20.71,1.6,1194.38,14062.5
"20","ExRes 27","T2","Ambient",20,"low",45,41,43,"Wet",4.48,21.26,5.79,16.78,1.31,1180.92,246183.20610687
