"","Node_ID","CN","a","d_12C","d_20C","p_12C","p_20C"
"1","mesostigs",8,60,1.84,2.444239672,35,30.926
"2","zerconidae",8,90,1.84,2.444239672,35,30.926
"3","prostig_astig",8,50,1.84,2.444239672,35,30.926
"4","juv_oribatids",8,50,1.2,1.594069351,35,30.926
"5","oribatids",8,50,1.2,1.594069351,35,30.926
"6","collembola",8,50,1.84,2.444239672,35,30.926
"7","predatory_nematodes",10,50,1.6,2.125425801,37,32.6932
"8","bactivorous_nematodes",10,60,4.36,5.791785309,37,32.6932
"9","fungivorous_nematodes",10,38,1.92,2.550510962,37,32.6932
"10","omnivorous_nematodes",10,60,2.68,3.560088217,37,32.6932
"11","protists",7,95,6,8.029300412,40,36.864
"12","bacteria",4,100,6,8.029300412,30,27.648
"13","fungi",10,100,1.2,1.605860082,30,27.648
"14","labile",57.25,100,0,0,100,100
"15","recalcitrant",18.81,100,0,0,100,100
