"","Sample_ID","destructive_time","temp_tx","moisture_tx","block_effect","W0","W1","W2","W3","W4","W5","W6","cum_resp"
"1","ExRes 1","T2",12,"High","low",1387.89936,138.789936,832.739616,0,0,0,0,2359.428912
"2","ExRes 10","T2",20,"High","low",555.159744,8466.186096,0,0,4302.488016,693.94968,0,13323.833856
"3","ExRes 11","T1",20,"Ambient","low",1943.059104,4996.437696,0,2081.84904,NA,NA,NA,9021.34584
"4","ExRes 12","T2",12,"High","low",1249.109424,1526.689296,7494.656544,0,0,0,0,10270.455264
"5","ExRes 13","T1",12,"High","low",971.529552,NA,0,555.159744,NA,NA,NA,1526.689296
"6","ExRes 14","T2",12,"High","low",832.739616,0,138.789936,0,138.789936,1943.059104,0,1110.319488
"7","ExRes 15","T2",12,"High","low",1665.479232,693.94968,693.94968,0,138.789936,555.159744,0,3192.168528
"8","ExRes 16","T1",20,"Ambient","low",971.529552,0,0,0,NA,NA,NA,971.529552
"9","ExRes 17","T1",12,"High","low",2081.84904,693.94968,0,832.739616,NA,NA,NA,3608.538336
"10","ExRes 18","T1",20,"High","low",1387.89936,693.94968,0,0,NA,NA,NA,2081.84904
"11","ExRes 19","T1",20,"High","high",1665.479232,1943.059104,0,138.789936,NA,NA,NA,3747.328272
"12","ExRes 2","T2",12,"Ambient","low",0,832.739616,0,0,0,0,0,832.739616
"13","ExRes 20","T1",20,"Ambient","low",2081.84904,2081.84904,0,2081.84904,NA,NA,NA,6245.54712
"14","ExRes 21","T1",12,"Ambient","low",1387.89936,1665.479232,693.94968,0,NA,NA,NA,3747.328272
"15","ExRes 22","T0",12,"Ambient","low",1110.319488,NA,NA,NA,NA,NA,NA,1110.319488
"16","ExRes 23","T0",12,"Ambient","low",832.739616,NA,NA,NA,NA,NA,NA,832.739616
"17","ExRes 24","T1",12,"High","low",555.159744,0,0,0,NA,NA,NA,555.159744
"18","ExRes 25","T1",12,"Ambient","low",555.159744,0,138.789936,0,NA,NA,NA,693.94968
"19","ExRes 26","T2",20,"High","low",2775.79872,4718.857824,0,0,277.579872,138.789936,0,7772.236416
"20","ExRes 27","T2",20,"Ambient","low",2081.84904,5829.177312,3608.538336,0,1804.269168,1387.89936,0,13323.833856
"21","ExRes 28","T2",20,"High","low",693.94968,0,0,0,0,138.789936,0,693.94968
"22","ExRes 29","T1",12,"High","low",832.739616,NA,0,8604.976032,NA,NA,NA,9437.715648
"23","ExRes 3","T1",12,"Ambient","high",1943.059104,832.739616,138.789936,416.369808,NA,NA,NA,3330.958464
"24","ExRes 30","T2",12,"Ambient","low",1804.269168,1110.319488,2220.638976,0,0,555.159744,0,5135.227632
"25","ExRes 31","T1",20,"High","low",1249.109424,2775.79872,0,1249.109424,NA,NA,NA,5274.017568
"26","ExRes 32","T2",20,"High","low",1110.319488,1387.89936,0,0,277.579872,416.369808,0,2775.79872
"27","ExRes 33","T1",12,"Ambient","low",1526.689296,0,277.579872,0,NA,NA,NA,1804.269168
"28","ExRes 34","T2",12,"Ambient","low",971.529552,555.159744,0,0,138.789936,0,0,1665.479232
"29","ExRes 35","T2",20,"Ambient","low",1249.109424,971.529552,0,0,416.369808,832.739616,0,2637.008784
"30","ExRes 36","T1",20,"High","low",2081.84904,4441.277952,0,138.789936,NA,NA,NA,6661.916928
"31","ExRes 37","T1",12,"High","high",1526.689296,832.739616,0,555.159744,NA,NA,NA,2914.588656
"32","ExRes 38","T2",20,"High","low",971.529552,1804.269168,0,0,971.529552,277.579872,0,3747.328272
"33","ExRes 39","T0",12,"Ambient","low",1387.89936,NA,NA,NA,NA,NA,NA,1387.89936
"34","ExRes 4","T2",12,"High","low",1665.479232,693.94968,832.739616,0,138.789936,138.789936,0,3330.958464
"35","ExRes 40","T2",12,"Ambient","low",693.94968,555.159744,0,0,0,693.94968,138.789936,1249.109424
"36","ExRes 41","T2",20,"Ambient","low",1526.689296,3192.168528,0,0,1387.89936,693.94968,0,6106.757184
"37","ExRes 42","T2",20,"Ambient","low",971.529552,0,0,0,693.94968,832.739616,0,1665.479232
"38","ExRes 43","T1",12,"Ambient","low",693.94968,0,0,0,NA,NA,NA,693.94968
"39","ExRes 44","T0",12,"Ambient","low",832.739616,NA,NA,NA,NA,NA,NA,832.739616
"40","ExRes 45","T0",12,"Ambient","low",1804.269168,NA,NA,NA,NA,NA,NA,1804.269168
"41","ExRes 6","T2",12,"Ambient","low",416.369808,693.94968,693.94968,0,0,416.369808,0,1804.269168
"42","ExRes 7","T1",20,"High","low",555.159744,6661.916928,0,0,NA,NA,NA,7217.076672
"43","ExRes 8","T1",20,"Ambient","low",1804.269168,0,0,0,NA,NA,NA,1804.269168
"44","ExRes 9","T2",20,"Ambient","low",1249.109424,0,0,0,0,138.789936,0,1249.109424
