"","Sample_ID","pH","pct_moisture","C_N_ratio"
"1","ExRes 1",4.21,739.2,34.1279
"2","ExRes 10",4.25,749.167,34.2056
"3","ExRes 11",4.01,708.065,50.8775
"4","ExRes 12",4.22,787.931,31.6111
"5","ExRes 13",4.15,1011.702,37.1063
"6","ExRes 14",4.38,878.448,36.8071
"7","ExRes 15",4.07,954,40.4634
"8","ExRes 16",3.96,792.8,28.2963
"9","ExRes 17",4.72,963.366,42.0502
"10","ExRes 18",4.22,1211.268,38.0149
"11","ExRes 19",4.17,816.822,40.4513
"12","ExRes 2",4.51,706.14,30.2366
"13","ExRes 20",3.97,641.27,36.1738
"14","ExRes 21",4.11,931,29.2703
"15","ExRes 22",3.91,605.333,34.5048
"16","ExRes 23",4.1,1215.789,41.2757
"17","ExRes 24",4.05,1203.75,25.4854
"18","ExRes 25",3.59,909.091,43.0129
"19","ExRes 26",4.23,1116.667,27.8553
"20","ExRes 27",4.04,921.782,32.0904
"21","ExRes 28",4.17,854.955,34.309
"22","ExRes 29",4.24,631.915,38.573
"23","ExRes 3",4,665.854,41.629
"24","ExRes 30",4.27,886.364,30.6153
"25","ExRes 31",4.2,980.198,38.6211
"26","ExRes 32",4.17,929.293,37.0858
"27","ExRes 33",4.16,758.197,28.1368
"28","ExRes 34",3.99,1069.412,43.6794
"29","ExRes 35",4.25,838.182,41.2308
"30","ExRes 36",4.1,1052.222,33.3688
"31","ExRes 37",4.18,794.017,37.5988
"32","ExRes 38",4.39,564.557,NA
"33","ExRes 39",4.15,609.589,29.4489
"34","ExRes 4",4.39,662.044,34.5971
"35","ExRes 40",4.09,810.435,31.4099
"36","ExRes 41",4.14,1190.123,36.3993
"37","ExRes 42",4.34,902.913,46.0234
"38","ExRes 43",4.18,922.772,37.1912
"39","ExRes 44",4.21,841.284,40.8574
"40","ExRes 45",4.02,854.206,40.1379
"41","ExRes 5",3.95,898.039,34.8919
"42","ExRes 6",4.33,926,30.1443
"43","ExRes 7",3.88,937.5,NA
"44","ExRes 8",3.93,696.85,44.2129
"45","ExRes 9",4.26,702.381,NA
