"","ExRes 1","ExRes 10","ExRes 11","ExRes 12","ExRes 13","ExRes 14","ExRes 15","ExRes 16","ExRes 17","ExRes 18","ExRes 19","ExRes 2","ExRes 20","ExRes 21","ExRes 22","ExRes 23","ExRes 24","ExRes 25","ExRes 26","ExRes 27","ExRes 28","ExRes 29","ExRes 3","ExRes 30","ExRes 31","ExRes 32","ExRes 33","ExRes 34","ExRes 35","ExRes 36","ExRes 37","ExRes 38","ExRes 39","ExRes 4","ExRes 40","ExRes 41","ExRes 42","ExRes 43","ExRes 44","ExRes 45","ExRes 5","ExRes 6","ExRes 7","ExRes 8","ExRes 9"
"mesostigs_biomass",0.00522367749379653,0.00291772977130977,0.00388223518672199,0,0,0,0.0123378287472527,0,0,0.00624671225519288,0.0124564617159763,0.00510337461818182,0.0100066168983957,0.00613744032069971,0,0.00364526758441558,0.0027681026035503,0,0,0,0,0,0.0116709190852391,0,0,0.00655807485981308,0.007064235,0,0,0,0.0025893505904059,0,0,0.00265298302457467,0.00331779673758865,0,0.00691343852216749,0.00328671667447307,0,0.01096428140625,0.0296081860759494,0.00221012286614173,0,0.00728422847750865,0.00327139398601399
"zerconidae_biomass",0.00110640061228288,0,0.00246682958091286,0,0,0.00362503615243902,0.00979954828021978,0.00161843719328494,0.009289155140625,0.00132308441172107,0.0118725296471894,0.00810689903181818,0.00317917609090909,0.00519976031195335,0.0109822523830049,0,0.00175889328106509,0.00635457643824228,0,0.00321354556216216,0.0027867465421875,0.00173493948151751,0.0148317487484407,0.00105783973131673,0,0.00833419526635514,0,0.00154283545588235,0.00895597167073171,0.00143600465942029,0.0180984277278598,0,0,0.00337148920037807,0.00421635410638298,0,0.00878580190640394,0,0.0123284639654378,0.0209005990664062,0.0238304064367089,0.00140434471417323,0.00116417610117493,0.00771417727941176,0
"prostig_astig_biomass",0.0520221919364144,0.0311655366751559,0.0388776715404564,0.0304977598828125,0.0131487347997754,0.0178523472484756,0.0257387687802198,0.0106271685980036,0.04066367984375,0.0281505983390208,0.0672290986253698,0.0595148764213636,0.0643198251016043,0.0128037242656706,0.0242326355597291,0.0380231811525974,0.0176710138949704,0.0490982038948931,0.0174808661669118,0.0279606679932432,0.0156473425558594,0.0298488745870623,0.098980472764553,0.0386207981414591,0.0189194503957997,0.0418654394614486,0.0251520522495805,0.0151961156509516,0.0551117686237446,0.0247058317838164,0.0324109034916974,0.00856077470394737,0.0372742833844538,0.0228030967712665,0.0488660610868794,0.00443773118504736,0.0588453467635468,0.0137132784484778,0.0707019425702765,0.0341612848515625,0.272522416791139,0.0100521535322835,0.0119256569755222,0.0667625465903979,0.0148790617552448
"juv_oribatids_biomass",0.187935682239454,0.0729690948180873,0.137970391556017,0.0687228512834821,0.0414806192178144,0.0525646003963415,0.0893185611758242,0.0687278402382033,0.0545201286848958,0.0945561177540801,0.181721111133506,0.1477816194,0.166287249993315,0.126562246935131,0.209296628460591,0.302280585136364,0.0437223726035503,0.136022274388361,0.243133362799632,0.0482620153445946,0.0274204176621094,0.0521117091755837,0.236189438490125,0.144626139982206,0.185025452399031,0.112217351179907,0.0790358912479027,0.0639193855536332,0.0861352695570301,0.0743667569444444,0.17211650783441,0.0405103123355263,0.432711411846114,0.0838081017391304,0.227087594822695,0.154980723998647,0.124364663288177,0.103827835644028,0.251126599786866,0.355984369648437,0.355943773871308,0.0785453488937008,0.0868168782375979,0.113456909357699,0.0387539211713287
"oribatids_biomass",0.328054510475806,0.0594284284864865,0.227336343134855,0.13292910203683,0.112329071134356,0.130724424246951,0.2198851854,0.168605246518149,0.0992537295208333,0.233260990446588,0.412284722625,0.240374486766818,0.452214853217914,0.260432526439504,0.299227992447044,0.232021705373377,0.119809235634615,0.347977446016033,0.404604909164338,0.115885435548649,0.0725792897121094,0.0834194769513619,0.445713213648649,0.224645451869217,0.1500831838958,0.300544003408878,0.11990383432047,0.105092184198529,0.194805024368006,0.120830627242754,0.296662438789207,0.0783582075164474,0.472914828893382,0.189126199162571,0.32943791075,0.203073936448579,0.205352543836207,0.259407873876464,0.411651412759217,0.400116597130859,0.472397497466245,0.157555526546457,0.0839639905084856,0.259639513902249,0.124934764431818
"collembola_biomass",0.00130946325,0,0.00291957781327801,0.000785288228794643,0,0.00858071040243902,0.00115981030714286,0,0,0.00313183198664688,0.00312256621153846,0.00959479435909091,0.00658466279545454,0.00153852387682216,0.00129978741317734,0,0,0,0,0,0,0,0.0219423571621622,0.000625994887010676,0,0.0041099197021028,0.00177085130788591,0.00456499731617647,0.00681409355487805,0.000849780498792271,0,0,0.00110864220535714,0,0.00249510018794326,0,0.00346609976847291,0.00247172688407494,0.0121593016071429,0.0054970176015625,0.0408217340875527,0.00249313554212598,0.000688921265992167,0.00456499731617647,0.00123010184090909
"n.predator_biomass",0.000666915221194436,0.000182978377641389,0.00199812388384397,0.000157243354205374,0.000121620358791582,0.00114888241961503,0.000545657908249993,0.00079308056823425,0.00106298466861577,0.000206548473744348,0.00110785090462877,0.00215541060356347,0.00133940172433497,0.000165126828603205,0.00138967262598171,0.00185289683464228,0.000421256887192176,0.000758857579361102,0.000152329499386457,0.00266673525643466,0.000410776178120782,0.000571705775475096,0.00487454398036661,0.000164487252858615,0.000543064168935674,0.000448577666904903,0.000175228705176577,0.000846274996591425,0.00228707595717481,0.000420219308652294,0.000462773162693032,7.0036551442049e-05,0.000470717766344415,0.000386868569870366,0.0022003149911377,0.000757344403729275,0.00215374146783536,0.000649939197382214,0.00299823141649533,0.00257143375111083,0.00782756828307934,0.0017323746989048,0.000507764997954855,0.00234944236891544,0.000970595040338484
"n.bacterivore_biomass",0.000230537684152397,6.32515349640073e-05,0.000690706761806959,5.4355512627134e-05,4.20414394072144e-05,0.000397142971046736,0.000188621741579234,0.00027415022440114,0.000367450038632027,7.13991903153031e-05,0.000382959293509353,0.000745077264922959,0.000463001235936533,5.70806535041041e-05,0.000480378762910855,0.000640505017214473,0.000145619089383803,0.000262320102147432,5.2656902857536e-05,0.00092183076758231,0.000141996142537176,0.000197625907020876,0.00168502089144115,5.6859566465884e-05,0.000187725143877134,0.000155063272218511,6.05726464243552e-05,0.000292538349208534,0.000790591034499701,0.000145260421675961,0.000159970337795046,2.42100702793269e-05,0.000162716609688523,0.000133731816781044,0.000760599707942187,0.000261797031156111,0.00074450028201259,0.000224669452192154,0.00103642158005309,0.00088888716750336,0.00270581538279174,0.000598843208968057,0.00017552300952512,0.000812149708937853,0.000335513009357752
"n.fungivore_biomass",0.00215090931646455,0.000590134824746622,0.00644427228623311,0.000507135217137097,0.000392245302675898,0.0037053313844697,0.00175983489528918,0.00255781294040179,0.00342829726226635,0.000666152192002119,0.00357299812073864,0.00695154736415816,0.00431978691714527,0.000532560695503049,0.0044819186953125,0.00597589159375,0.00135862150763889,0.00244743827317994,0.000491287241601563,0.00860065196493321,0.00132481952791433,0.00184384347465278,0.01572119173125,0.000530497960414833,0.00175146966702874,0.0014467354353911,0.000565140879227941,0.00272937356445313,0.00737618939771534,0.00135527514924569,0.00149251820233386,0.000225879191540948,0.00151814083241685,0.00124771362946429,0.00709637126757813,0.0024425580373411,0.00694616413181628,0.0020961588975,0.00966978062834821,0.00829328921602638,0.0252451721152563,0.00558718823782169,0.00163762413867188,0.00757733114974662,0.0031303257871958
"n.omnivore_biomass",0.00025080577278193,6.88123946617088e-05,0.000751431349705861,5.91342643157395e-05,4.57375796853274e-05,0.000432058429512305,0.000205204723185215,0.000298252579148035,0.000399754995530077,7.76763641435561e-05,0.000416627771315437,0.000810581922423232,0.000503706728923709,6.2098990304469e-05,0.000522612028930768,0.000696816038574357,0.000158421424154512,0.000285382392805812,5.72863185558726e-05,0.00100287499151248,0.000154479960150668,0.000215000504209695,0.00183316219378792,6.18584660462474e-05,0.00020422929966443,0.000168695907403797,6.58979873583894e-05,0.000318257325310404,0.000860097107729628,0.000158031223602407,0.000174034385486195,2.63385372670679e-05,0.00017702210025849,0.000145489062999042,0.000827469045807049,0.000284813335193039,0.00080995421313896,0.00024442162583839,0.00112754023824257,0.000967035102227575,0.00294370146287106,0.000651491465929532,0.000190954395186242,0.000883551147456342,0.000365010171329454
